"id","year","month","day","lon","lat","Size_class","catch","fhours","depth","sst","sstsource"
"AA_MD_20000722_110703",2000,7,22,-74.4,38.1833333333333,"small",2,8,-42.7,24.44,"Field"
"AA_MD_20000722_110801",2000,7,22,-74.6666666666667,38.0833333333333,"small",1,4,-36.6,23.2299995422363,"OISST"
"AA_MD_20000722_110803",2000,7,22,-74.4,38.1833333333333,"small",1,6,-16.8,23.6199989318848,"OISST"
"AA_MD_20000722_110806",2000,7,22,-74.4,38.1833333333333,"small",2,4,-36.6,23.33,"Field"
"AA_MD_20000722_110808",2000,7,22,-74.4,38.1833333333333,"small",2,5,-36.6,22.78,"Field"
"AA_MD_20000722_110809",2000,7,22,-74.4,38.1833333333333,"small",1,6,-36.6,22.78,"Field"
"AA_MD_20000722_110811",2000,7,22,-74.4,38.1833333333333,"small",1,6,-37.5,22.22,"Field"
"AA_MD_20000722_110812",2000,7,22,-74.6666666666667,38.0833333333333,"small",1,6,-21.9,21.67,"Field"
"AA_MD_20000722_110820",2000,7,22,-74,37.75,"small",1,7,-67.1,23.89,"Field"
"AA_MD_20000723_110109",2000,7,23,-74.4166666666667,37.4166666666667,"small",7,8,-54.9,23.33,"Field"
"AA_MD_20000723_110112",2000,7,23,-74.4,38.1833333333333,"small",1,7,-36.6,22.22,"Field"
"AA_MD_20000728_110102",2000,7,28,-74.4,38.1833333333333,"small",0,9,-39.6,22.8599987030029,"OISST"
"AA_MD_20000728_110702",2000,7,28,-74.4,38.1833333333333,"small",1,7,-39.3,22.78,"Field"
"AA_MD_20000728_110705",2000,7,28,-74.4,38.1833333333333,"small",1,9,-41.8,23.33,"Field"
"AA_MD_20000728_110708",2000,7,28,-74.4,38.1833333333333,"small",1,8,-36,22.22,"Field"
"AA_MD_20000728_110712",2000,7,28,-74.4,38.1833333333333,"small",1,7,-36.6,21.67,"Field"
"AA_MD_20000728_110713",2000,7,28,-74.4166666666667,37.4166666666667,"small",0,3,NA,23.9799995422363,"OISST"
"AA_MD_20000729_110301",2000,7,29,-74.6166666666667,38.2,"small",2,5,-36.6,23.33,"Field"
"AA_MD_20000729_110501",2000,7,29,-74.4,38.1833333333333,"small",0,6,-41.1,22.6000003814697,"OISST"
"AA_MD_20000729_110518",2000,7,29,-74.6666666666667,38.0833333333333,"small",1,8,-36.6,21.67,"Field"
"AA_MD_20000729_110801",2000,7,29,-74.75,37.4166666666667,"small",3,6,-36.6,23.519998550415,"OISST"
"AA_MD_20000729_110806",2000,7,29,-75.1666666666667,37.25,"small",1,7,NA,23.33,"Field"
"AA_MD_20000729_110807",2000,7,29,-74.75,37.4166666666667,"small",2,8,-33.5,23.33,"Field"
"AA_MD_20000729_110809",2000,7,29,-75.1666666666667,37.25,"small",1,8,-39.6,22.78,"Field"
"AA_MD_20000730_110909",2000,7,30,-74.4166666666667,37.4,"small",2,10,-36.6,23.33,"Field"
"AA_MD_20000805_110501",2000,8,5,-74.4,38.1833333333333,"small",0,8,-36.6,23.33,"Field"
"AA_MD_20000805_110504",2000,8,5,-74.6166666666667,37.2,"small",1,6,-40.5,23.33,"Field"
"AA_MD_20000806_110605",2000,8,6,-74.2833333333333,38.1,"small",1,6,-35.1,24.2600002288818,"OISST"
"AA_MD_20000819_110506",2000,8,19,-74.4166666666667,38.2166666666667,"small",1,8,-39.3,22.78,"Field"
"AA_MD_20000819_111201",2000,8,19,-74.4,38.1833333333333,"small",1,8,-36.6,22.22,"Field"
"AA_MD_20000820_110101",2000,8,20,-74.4166666666667,38.2166666666667,"small",1,5,-48.2,21.67,"Field"
"AA_MD_20000820_110106",2000,8,20,-74.4166666666667,38.2166666666667,"small",1,7,-36.6,21.67,"Field"
"AA_MD_20000820_110606",2000,8,20,-74.4,38.8,"small",1,6,-39.6,22.3999996185303,"OISST"
"AA_MD_20000820_110608",2000,8,20,-74.4,38.1833333333333,"small",1,8,-36.6,22.22,"Field"
"AA_MD_20000822_210101",2000,8,22,-74.4,38.1833333333333,"small",1,6,-39,23.33,"Field"
"AA_MD_20000822_210103",2000,8,22,-74.4,38.1833333333333,"small",1,8,-42.7,24.2899990081787,"OISST"
"AA_MD_20000822_210104",2000,8,22,-72.7,38.1833333333333,"small",1,6,-37.8,24.44,"Field"
"AA_MD_20000826_110102",2000,8,26,-74.4,38.1833333333333,"small",1,7,-39.3,23.33,"Field"
"AA_MD_20000902_110205",2000,9,2,-74.2833333333333,38.1,"small",2,7,-36.6,23.89,"Field"
"AA_MD_20000929_110202",2000,9,29,-74.2833333333333,38.1,"small",2,6,-37.8,19.44,"Field"
"AA_MD_20000930_110304",2000,9,30,-74.2833333333333,38.1,"small",3,5,-33.5,18.33,"Field"
"AA_MD_20000930_110305",2000,9,30,-74.2833333333333,38.1,"small",1,7,-37.8,18.33,"Field"
"AA_MD_20010615_110601",2001,6,15,-74.4,38.1833333333333,"small",1,4,-3,21.67,"Field"
"AA_MD_20010618_210102",2001,6,18,-74.6666666666667,38.0833333333333,"small",2,7,-34.1,21.0799999237061,"OISST"
"AA_MD_20010622_110306",2001,6,22,-74.25,37,"small",0,7,-182.9,22.9200000762939,"OISST"
"AA_MD_20010624_110101",2001,6,24,-74.55,37.9833333333333,"small",1,6,-39.6,21.11,"Field"
"AA_MD_20010624_110109",2001,6,24,-74.1,37.8666666666667,"small",1,7,-54.9,22.78,"Field"
"AA_MD_20010624_110110",2001,6,24,-74.7166666666667,37.3333333333333,"small",0,8,-61,22.22,"Field"
"AA_MD_20010626_210406",2001,6,26,-74.2833333333333,38.1,"small",2,9,-47.9,22.22,"Field"
"AA_MD_20010630_110115",2001,6,30,-74.2833333333333,38.1,"small",1,7,-39.6,24.44,"Field"
"AA_MD_20010630_110117",2001,6,30,-74.2833333333333,38.1,"small",1,10,-45.7,25,"Field"
"AA_MD_20010630_110118",2001,6,30,-74.4,38.1833333333333,"small",3,8,-43.9,25.56,"Field"
"AA_MD_20010701_110202",2001,7,1,-74.5,37.4833333333333,"small",1,7,-182.9,25,"Field"
"AA_MD_20010701_110203",2001,7,1,-74.1,37.8666666666667,"small",0,7,-182.9,25,"Field"
"AA_MD_20010701_110901",2001,7,1,-74.5,37.4833333333333,"small",0,6,-91.4,22.78,"Field"
"AA_MD_20010703_210404",2001,7,3,-74.4166666666667,37.4166666666667,"small",0,6,-182.9,23.33,"Field"
"AA_MD_20010703_210405",2001,7,3,-74.75,38.0833333333333,"small",0,8,-33.5,22.78,"Field"
"AA_MD_20010703_210411",2001,7,3,-73.8166666666667,38.1,"small",2,5,-36.6,23.33,"Field"
