"Size_class","id","year","month","day","fhours","depth","sst","lon","lat","catch"
"large","AA_DE_20010815_210402",2001,8,15,7,-36.6,25,-74.2833333333333,38.1,0
"small","AA_DE_20010815_210403",2001,8,15,5,-39.6,25.56,-74.2833333333333,38.1,3
"large","AA_DE_20010815_210403",2001,8,15,5,-39.6,25.56,-74.2833333333333,38.1,0
"small","AA_DE_20010815_210404",2001,8,15,6,-36,24.44,-74.2833333333333,38.1,1
"large","AA_DE_20010815_210404",2001,8,15,6,-36,24.44,-74.2833333333333,38.1,0
"small","AA_DE_20010816_210202",2001,8,16,6,-61,25,-74.1666666666667,38.1333333333333,1
"large","AA_DE_20010816_210202",2001,8,16,6,-61,25,-74.1666666666667,38.1333333333333,0
"small","AA_DE_20010817_110801",2001,8,17,20,-38.1,27.22,-74.2833333333333,38.1,0
"large","AA_DE_20010817_110801",2001,8,17,20,-38.1,27.22,-74.2833333333333,38.1,0
"small","AA_DE_20010817_110802",2001,8,17,5,-35.1,25,-74.2833333333333,38.1,3
"large","AA_DE_20010817_110802",2001,8,17,5,-35.1,25,-74.2833333333333,38.1,0
"small","AA_DE_20010817_110804",2001,8,17,8,-39.6,23.33,-74.2833333333333,38.1,6
"large","AA_DE_20010817_110804",2001,8,17,8,-39.6,23.33,-74.2833333333333,38.1,0
"small","AA_DE_20010817_110805",2001,8,17,6,-36.6,23.89,-74.2833333333333,38.1,2
"large","AA_DE_20010817_110805",2001,8,17,6,-36.6,23.89,-74.2833333333333,38.1,0
"small","AA_DE_20010817_110806",2001,8,17,6,-54.9,24.44,-74.2833333333333,38.1,1
"large","AA_DE_20010817_110806",2001,8,17,6,-54.9,24.44,-74.2833333333333,38.1,0
"small","AA_DE_20010817_110807",2001,8,17,8,-33.8,24.44,-74.2833333333333,38.1,2
"large","AA_DE_20010817_110807",2001,8,17,8,-33.8,24.44,-74.2833333333333,38.1,0
"small","AA_DE_20010820_210301",2001,8,20,6,-37.8,25.56,-74.2833333333333,38.1,4
"large","AA_DE_20010820_210301",2001,8,20,6,-37.8,25.56,-74.2833333333333,38.1,0
"small","AA_DE_20010820_210302",2001,8,20,5,-33.5,25,-74.2833333333333,38.1,0
"large","AA_DE_20010820_210302",2001,8,20,5,-33.5,25,-74.2833333333333,38.1,0
"small","AA_DE_20010906_210304",2001,9,6,6,-47.2,26.11,-74.2833333333333,38.1,1
"large","AA_DE_20010906_210304",2001,9,6,6,-47.2,26.11,-74.2833333333333,38.1,0
"small","AA_DE_20010913_210301",2001,9,13,7,-41.1,25,-74.2833333333333,38.1,1
"large","AA_DE_20010913_210301",2001,9,13,7,-41.1,25,-74.2833333333333,38.1,0
"small","AA_DE_20010922_110501",2001,9,22,6,-40.8,23.33,-74.2833333333333,38.1,3
"large","AA_DE_20010922_110501",2001,9,22,6,-40.8,23.33,-74.2833333333333,38.1,0
"small","AA_MA_20000728_111001",2000,7,28,8,-67.1,18.89,-69.9166666666667,41.6666666666667,0
"large","AA_MA_20000728_111001",2000,7,28,8,-67.1,18.89,-69.9166666666667,41.6666666666667,0
"small","AA_MA_20000819_110101",2000,8,19,2,-73.2,17.78,-69.9166666666667,41.6666666666667,0
"large","AA_MA_20000819_110101",2000,8,19,2,-73.2,17.78,-69.9166666666667,41.6666666666667,1
"small","AA_MA_20000819_110102",2000,8,19,4,-76.2,16.11,-69.9166666666667,41.6666666666667,0
"large","AA_MA_20000819_110102",2000,8,19,4,-76.2,16.11,-69.9166666666667,41.6666666666667,1
"small","AA_MA_20000820_110801",2000,8,20,6,-74.1,17.22,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20000820_110801",2000,8,20,6,-74.1,17.22,-70.1666666666667,41.4166666666667,1
"small","AA_MA_20000829_210401",2000,8,29,8,-73.2,18.33,-69.9166666666667,41.6666666666667,1
"large","AA_MA_20000829_210401",2000,8,29,8,-73.2,18.33,-69.9166666666667,41.6666666666667,0
"small","AA_MA_20000915_110801",2000,9,15,1,-54.9,12.78,-69.9166666666667,41.6666666666667,0
"large","AA_MA_20000915_110801",2000,9,15,1,-54.9,12.78,-69.9166666666667,41.6666666666667,1
"small","AA_MA_20000916_110303",2000,9,16,2,-61,16.11,-69.9166666666667,41.6666666666667,0
"large","AA_MA_20000916_110303",2000,9,16,2,-61,16.11,-69.9166666666667,41.6666666666667,1
"small","AA_MA_20000921_210102",2000,9,21,5,-73.2,16.67,-69.8333333333333,41.6666666666667,0
"large","AA_MA_20000921_210102",2000,9,21,5,-73.2,16.67,-69.8333333333333,41.6666666666667,1
"small","AA_MA_20000929_110201",2000,9,29,4,-61,15.56,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20000929_110201",2000,9,29,4,-61,15.56,-70.1666666666667,41.4166666666667,1
"small","AA_MA_20000929_110202",2000,9,29,2,-54.9,15.56,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20000929_110202",2000,9,29,2,-54.9,15.56,-70.1666666666667,41.4166666666667,1
"small","AA_MA_20000929_110203",2000,9,29,1,-61,16.11,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20000929_110203",2000,9,29,1,-61,16.11,-70.1666666666667,41.4166666666667,1
"small","AA_MA_20000929_110205",2000,9,29,12,-51.8,15.56,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20000929_110205",2000,9,29,12,-51.8,15.56,-70.1666666666667,41.4166666666667,1
"small","AA_MA_20000929_110211",2000,9,29,2,-67.1,15.56,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20000929_110211",2000,9,29,2,-67.1,15.56,-70.1666666666667,41.4166666666667,1
"small","AA_MA_20000929_110213",2000,9,29,6,-91.4,16.11,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20000929_110213",2000,9,29,6,-91.4,16.11,-70.1666666666667,41.4166666666667,1
"small","AA_MA_20000929_110214",2000,9,29,2,-57.9,16.11,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20000929_110214",2000,9,29,2,-57.9,16.11,-70.1666666666667,41.4166666666667,1
"small","AA_MA_20000929_110215",2000,9,29,6,-61,16.11,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20000929_110215",2000,9,29,6,-61,16.11,-70.1666666666667,41.4166666666667,1
"small","AA_MA_20000929_110216",2000,9,29,3,-61,15.56,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20000929_110216",2000,9,29,3,-61,15.56,-70.1666666666667,41.4166666666667,2
"small","AA_MA_20001008_110303",2000,10,8,1,-61,12.22,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20001008_110303",2000,10,8,1,-61,12.22,-70.1666666666667,41.4166666666667,1
"small","AA_MA_20001008_110305",2000,10,8,1,-61,13.33,-70.5,41.4166666666667,0
"large","AA_MA_20001008_110305",2000,10,8,1,-61,13.33,-70.5,41.4166666666667,1
"small","AA_MA_20001008_110308",2000,10,8,8,-67.1,17.22,-69.9166666666667,41.6666666666667,0
"large","AA_MA_20001008_110308",2000,10,8,8,-67.1,17.22,-69.9166666666667,41.6666666666667,0
"small","AA_MA_20001012_210301",2000,10,12,1,-73.2,14.44,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20001012_210301",2000,10,12,1,-73.2,14.44,-70.1666666666667,41.4166666666667,1
"small","AA_MA_20001012_210302",2000,10,12,6,-106.7,16.11,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20001012_210302",2000,10,12,6,-106.7,16.11,-70.1666666666667,41.4166666666667,1
"small","AA_MA_20001012_210303",2000,10,12,1,-88.4,15,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20001012_210303",2000,10,12,1,-88.4,15,-70.1666666666667,41.4166666666667,1
"small","AA_MA_20001012_210304",2000,10,12,6,-91.4,15.56,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20001012_210304",2000,10,12,6,-91.4,15.56,-70.1666666666667,41.4166666666667,1
"small","AA_MA_20001012_210305",2000,10,12,1,-91.4,14.44,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20001012_210305",2000,10,12,1,-91.4,14.44,-70.1666666666667,41.4166666666667,1
"small","AA_MA_20001013_110601",2000,10,13,1,-91.4,13.33,-69.9166666666667,41.6666666666667,0
"large","AA_MA_20001013_110601",2000,10,13,1,-91.4,13.33,-69.9166666666667,41.6666666666667,1
"small","AA_MA_20001013_110602",2000,10,13,1,-91.4,13.33,-69.9166666666667,41.6666666666667,0
"large","AA_MA_20001013_110602",2000,10,13,1,-91.4,13.33,-69.9166666666667,41.6666666666667,1
"small","AA_MA_20001013_110603",2000,10,13,2,-83.8,13.89,-69.9166666666667,41.6666666666667,0
"large","AA_MA_20001013_110603",2000,10,13,2,-83.8,13.89,-69.9166666666667,41.6666666666667,1
"small","AA_MA_20001013_110604",2000,10,13,8,-61,14.44,-69.9166666666667,41.6666666666667,0
"large","AA_MA_20001013_110604",2000,10,13,8,-61,14.44,-69.9166666666667,41.6666666666667,1
"small","AA_MA_20001015_110801",2000,10,15,3,-54.9,12.22,-70.3333333333333,41.8333333333333,0
"large","AA_MA_20001015_110801",2000,10,15,3,-54.9,12.22,-70.3333333333333,41.8333333333333,1
"small","AA_MA_20001015_110901",2000,10,15,2,-91.4,13.33,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20001015_110901",2000,10,15,2,-91.4,13.33,-70.1666666666667,41.4166666666667,1
"small","AA_MA_20001015_110902",2000,10,15,1,-91.4,15,-70.25,41.4166666666667,0
"large","AA_MA_20001015_110902",2000,10,15,1,-91.4,15,-70.25,41.4166666666667,1
"small","AA_MA_20001015_111301",2000,10,15,10,-68.6,11.67,-70.25,42.1666666666667,0
"large","AA_MA_20001015_111301",2000,10,15,10,-68.6,11.67,-70.25,42.1666666666667,0
"small","AA_MA_20001020_110801",2000,10,20,8,-73.2,12.22,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20001020_110801",2000,10,20,8,-73.2,12.22,-70.1666666666667,41.4166666666667,1
"small","AA_MA_20001026_210401",2000,10,26,2,-61,12.22,-69.9166666666667,41.6666666666667,0
"large","AA_MA_20001026_210401",2000,10,26,2,-61,12.22,-69.9166666666667,41.6666666666667,1
"small","AA_MA_20001026_210402",2000,10,26,7,-54.9,13.33,-69.9166666666667,41.6666666666667,0
"large","AA_MA_20001026_210402",2000,10,26,7,-54.9,13.33,-69.9166666666667,41.6666666666667,1
"small","AA_MA_20010703_062603",2001,7,3,3,-61,17.78,-69.5666666666667,42.6166666666667,0
"large","AA_MA_20010703_062603",2001,7,3,3,-61,17.78,-69.5666666666667,42.6166666666667,1
"small","AA_MA_20010704_062601",2001,7,4,3,-61,17.78,-69.5666666666667,42.6166666666667,0
