"id","year","month","day","lon","lat","Size_class","catch","fhours","sst","sstsource","bathy","slp"
"2000_155093_10_10_14",2000,10,14,-63.5,44.4833333333333,"small",0,1,13.2799997329712,"OISST",-65.6,101442
"2000_155093_9_10_5",2000,10,5,-63.5333333333333,44.2333333333333,"small",0,6.5,14.3899993896484,"OISST",-130.7,101657
"2000_155128_1_9_14",2000,9,14,-60.8833333333333,45.2833333333333,"small",0,11,13.7799997329712,"OISST",-27.4,101497
"2000_155128_11_10_4",2000,10,4,-63.5,44.4,"small",0,8,14.3899993896484,"OISST",-94.2,100955
"2000_155128_12_10_5",2000,10,5,-63.5,44.4,"small",0,10,14.3899993896484,"OISST",-94.2,101657
"2000_155128_13_10_7",2000,10,7,-63.5,44.4,"small",0,4,14.0599994659424,"OISST",-94.2,101125
"2000_155128_15_10_14",2000,10,14,-62.9833333333333,44.6,"small",0,10,13.2799997329712,"OISST",-46.3,101442
"2000_155128_17_10_16",2000,10,16,-63.0833333333333,44.6,"small",0,8,12.789999961853,"OISST",-33,102487
"2000_155128_2_9_15",2000,9,15,-60.8666666666667,45.2666666666667,"small",0,6,13.4099998474121,"OISST",-50.6,101035
"2000_155128_3_9_18",2000,9,18,-60.8666666666667,45.2666666666667,"small",0,1.5,12.6999998092651,"OISST",-50.6,101242
"2000_155128_4_9_19",2000,9,19,-60.85,45.3333333333333,"small",0,13,13.1300001144409,"OISST",-23.3,101715
"2000_155128_5_9_26",2000,9,26,-63.1833333333333,44.6,"small",0,3,14.6700000762939,"OISST",-42,101732
"2000_155128_6_9_28",2000,9,28,-62.7833333333333,44.6166666666667,"small",0,8.5,14.1499996185303,"OISST",-58.1,101732
"2000_155128_7_9_29",2000,9,29,-63.1833333333333,44.6,"small",0,3,13.9299993515015,"OISST",-42,102637
"2000_155128_8_9_30",2000,9,30,-63.4,44.5333333333333,"small",0,3.5,13.8499994277954,"OISST",-39.7,102620
"2000_155128_9_10_1",2000,10,1,-63.2,44.6,"small",0,12,13.8599996566772,"OISST",-39.1,102070
