"id","year","month","day","lon","lat","Size_class","catch","fhours","sst","sstsource","bathy"
"207897",2007,10,3,-63.1311111111111,44.6102777777778,"small",0,15.5,16.3099994659424,"OISST",-40.1
"207923",2007,10,3,-63.1058333333333,44.6525,"small",0,17.5,16.3099994659424,"OISST",-25.1
"207942",2007,10,3,-63.1408333333333,43.6211111111111,"small",0,16,16.3099994659424,"OISST",-246.4
"207948",2007,10,3,-60.8833333333333,45.2833333333333,"small",0,10,11.5599994659424,"OISST",-27.4
"207953",2007,10,3,-61.0152777777778,45.2227777777778,"small",0,14,11.5599994659424,"OISST",-24.9
"207964",2007,10,3,-60.9,45.2666666666667,"small",0,14,11.5599994659424,"OISST",-35.7
"207975",2007,10,3,-63.0755555555556,44.6252777777778,"small",0,16.5,16.3099994659424,"OISST",-42.3
"207978",2007,10,3,-61.0275,45.1897222222222,"small",0,14.5,11.5599994659424,"OISST",-44.4
"207993",2007,10,3,-63.2166666666667,44.5833333333333,"small",0,16.75,16.3099994659424,"OISST",-41.4
"207996",2007,10,3,-63.1808333333333,44.5666666666667,"small",0,16,15,"Field",-50.3
"208006",2007,10,3,-63.2833333333333,44.5833333333333,"small",0,16,16.3099994659424,"OISST",-27.1
"208010",2007,10,5,-60.8166666666667,45.3166666666667,"small",0,2,11.6899995803833,"OISST",-44.1
"208018",2007,10,3,-64.25,44.1666666666667,"small",0,18,15.5555555555556,"Field",-47.1
"208024",2007,10,3,-60.8333333333333,45.2833333333333,"small",0,12,11.5599994659424,"OISST",-57.3
"208036",2007,10,3,-60.89,45.2269444444444,"small",0,19.25,11.5599994659424,"OISST",-55.9
"208077",2007,10,6,-64.2416666666667,44.1833333333333,"small",0,23.5,15.5555555555556,"Field",-48.7
"208079",2007,10,3,-60.8755555555556,45.2911111111111,"small",0,14.5,11.5599994659424,"OISST",-31.4
"208081",2007,10,4,-61.0166666666667,45.1833333333333,"small",0,6.5,11.8299999237061,"OISST",-55.7
"208084",2007,10,3,-60.8666666666667,45.2666666666667,"small",0,12,11.5599994659424,"OISST",-50.6
"208086",2007,10,3,-60.9472222222222,45.2719444444444,"small",0,14,11.5599994659424,"OISST",-17.3
"208118",2007,10,4,-63.145,44.6197222222222,"small",0,17.5,16.1800003051758,"OISST",-32
"208121",2007,10,5,-64.25,44.1833333333333,"small",0,20.5,15.5555555555556,"Field",-46.9
"208138",2007,10,4,-63.1311111111111,44.6102777777778,"small",0,15.5,14.4444444444444,"Field",-40.1
"208146",2007,10,4,-63.0955555555556,44.6333333333333,"small",0,17.5,16.1800003051758,"OISST",-30.7
"208150",2007,10,4,-60.9327777777778,45.2833333333333,"small",0,14.5,11.8299999237061,"OISST",-9.4
"208154",2007,10,4,-60.9743055555556,45.2008333333333,"small",0,14,11.8299999237061,"OISST",-55
"208159",2007,10,4,-63.2083333333333,44.5833333333333,"small",0,17.5,16.1800003051758,"OISST",-45.3
"208165",2007,10,4,-63.1194444444444,44.6119444444444,"small",0,17.5,14.4444444444444,"Field",-44
"208176",2007,10,4,-60.8602777777778,45.2841666666667,"small",0,13.25,11.8299999237061,"OISST",-34.7
"208204",2007,10,4,-60.95,45.1916666666667,"small",0,14.75,11.8299999237061,"OISST",-61.9
"208207",2007,10,4,-63.13625,44.6118055555556,"small",0,21,16.1800003051758,"OISST",-40.5
"208218",2007,10,4,-63.1265277777778,44.6030555555556,"small",0,15.5,16.1800003051758,"OISST",-46.4
"208236",2007,10,5,-63.1213888888889,44.6013888888889,"small",0,16.5,15.75,"OISST",-46.4
"208263",2007,10,5,-61.0472222222222,45.1980555555556,"small",0,14,11.6899995803833,"OISST",-46
