"Size_class","id","year","fhours","depth","sst","lon","lat","catch"
"small","2002-255303",2002,6,-350,22.78,-74.4166666666667,37.4166666666667,0
"large","2002-255303",2002,6,-350,22.78,-74.4166666666667,37.4166666666667,0
"small","2002-255306",2002,7,-120,19.44,-74.3333333333333,38.0333333333333,4
"large","2002-255306",2002,7,-120,19.44,-74.3333333333333,38.0333333333333,0
"small","2002-255308",2002,6,-420,18.33,-74.1,37.8666666666667,0
"large","2002-255308",2002,6,-420,18.33,-74.1,37.8666666666667,0
"small","2002-257804",2002,8,-700,20,-74.5833333333333,37.0833333333333,0
"large","2002-257804",2002,8,-700,20,-74.5833333333333,37.0833333333333,0
"small","2002-258401",2002,6,-210,20,-74.4166666666667,37.4166666666667,8
"large","2002-258401",2002,6,-210,20,-74.4166666666667,37.4166666666667,0
"small","2002-258402",2002,6,-128,20,-74.8333333333333,37.6666666666667,11
"large","2002-258402",2002,6,-128,20,-74.8333333333333,37.6666666666667,0
"small","2002-258403",2002,10,-120,20.56,-74.8333333333333,37.6666666666667,4
"large","2002-258403",2002,10,-120,20.56,-74.8333333333333,37.6666666666667,0
"small","2002-258702",2002,7,-120,20,-75.1666666666667,37,3
"large","2002-258702",2002,7,-120,20,-75.1666666666667,37,0
"small","2002-259302",2002,7,-68,21.11,-75.1666666666667,37.25,1
"large","2002-259302",2002,7,-68,21.11,-75.1666666666667,37.25,0
"small","2002-259306",2002,8,-75,21.11,-74.75,37.4166666666667,6
"large","2002-259306",2002,8,-75,21.11,-74.75,37.4166666666667,0
"small","2002-259307",2002,3,-120,17.22,-75.5,36.5833333333333,0
"large","2002-259307",2002,3,-120,17.22,-75.5,36.5833333333333,0
"small","2002-259308",2002,7,-75,21.67,-75.1666666666667,37.25,6
"large","2002-259308",2002,7,-75,21.67,-75.1666666666667,37.25,0
"small","2002-259310",2002,6,-60,22.22,-75.1666666666667,37.25,2
"large","2002-259310",2002,6,-60,22.22,-75.1666666666667,37.25,0
"small","2002-259311",2002,5,-200,21.11,-74.5,37.4166666666667,0
"large","2002-259311",2002,5,-200,21.11,-74.5,37.4166666666667,0
"small","2002-259312",2002,5,-3500,21.11,-74.5833333333333,37.0833333333333,0
"large","2002-259312",2002,5,-3500,21.11,-74.5833333333333,37.0833333333333,0
"small","2002-259314",2002,5,-191,21.67,-74.5833333333333,37.0833333333333,0
"large","2002-259314",2002,5,-191,21.67,-74.5833333333333,37.0833333333333,0
"small","2002-260802",2002,6,-600,20,-74.4666666666667,38.8166666666667,3
"large","2002-260802",2002,6,-600,20,-74.4666666666667,38.8166666666667,0
"small","2002-262201",2002,6,-128,21.11,-74.2833333333333,38.1,1
"large","2002-262201",2002,6,-128,21.11,-74.2833333333333,38.1,0
"small","2002-262203",2002,7,-110,22.22,-74.2833333333333,37.1,2
"large","2002-262203",2002,7,-110,22.22,-74.2833333333333,37.1,0
"small","2002-262204",2002,6,-115,22.22,-74.2833333333333,37.1,1
"large","2002-262204",2002,6,-115,22.22,-74.2833333333333,37.1,0
"small","2002-262205",2002,7,-100,22.22,-74.2833333333333,37.1,2
"large","2002-262205",2002,7,-100,22.22,-74.2833333333333,37.1,0
"small","2002-262206",2002,8,-600,19.44,-73.4833333333333,38.5,0
"large","2002-262206",2002,8,-600,19.44,-73.4833333333333,38.5,0
"small","2002-262301",2002,4,-60,22.22,-75.1666666666667,37.25,2
"large","2002-262301",2002,4,-60,22.22,-75.1666666666667,37.25,0
"small","2002-262302",2002,5,-96,22.22,-75.1666666666667,37.25,2
"large","2002-262302",2002,5,-96,22.22,-75.1666666666667,37.25,0
"small","2002-262303",2002,6,-70,23.33,-75.1666666666667,37.25,6
"large","2002-262303",2002,6,-70,23.33,-75.1666666666667,37.25,0
"small","2002-264801",2002,8,-123,25.56,-74.2666666666667,38.1166666666667,1
"large","2002-264801",2002,8,-123,25.56,-74.2666666666667,38.1166666666667,0
"small","2002-265401",2002,12,-120,21.67,-74.4666666666667,38.25,2
"large","2002-265401",2002,12,-120,21.67,-74.4666666666667,38.25,0
"small","2002-265402",2002,6,-120,21.67,-74.55,37.9833333333333,1
"large","2002-265402",2002,6,-120,21.67,-74.55,37.9833333333333,0
"small","2002-265403",2002,7,-120,22.22,-74.2833333333333,38.1,2
"large","2002-265403",2002,7,-120,22.22,-74.2833333333333,38.1,0
"small","2002-265701",2002,7,-65,21.67,-74.75,38.0833333333333,4
"large","2002-265701",2002,7,-65,21.67,-74.75,38.0833333333333,0
"small","2002-265801",2002,4,-95,21.67,-74.75,38.0833333333333,4
"large","2002-265801",2002,4,-95,21.67,-74.75,38.0833333333333,0
"small","2002-265802",2002,6,-60,21.67,-74.75,38.0833333333333,3
"large","2002-265802",2002,6,-60,21.67,-74.75,38.0833333333333,0
"small","2002-265803",2002,6,-95,22.78,-74.6166666666667,38.2,4
"large","2002-265803",2002,6,-95,22.78,-74.6166666666667,38.2,0
"small","2002-265804",2002,7,-115,22.22,-74.6166666666667,38.2,0
"large","2002-265804",2002,7,-115,22.22,-74.6166666666667,38.2,0
"small","2002-265805",2002,7,-110,23.33,-74.6166666666667,38.2,3
"large","2002-265805",2002,7,-110,23.33,-74.6166666666667,38.2,0
"small","2002-265806",2002,8,-90,23.33,-74.3333333333333,38.0333333333333,0
"large","2002-265806",2002,8,-90,23.33,-74.3333333333333,38.0333333333333,0
"small","2002-265807",2002,8,-75,22.78,-74.75,38.0833333333333,2
"large","2002-265807",2002,8,-75,22.78,-74.75,38.0833333333333,0
"small","2002-265808",2002,7,-120,22.22,-74.2833333333333,38.1,5
"large","2002-265808",2002,7,-120,22.22,-74.2833333333333,38.1,0
"small","2002-265809",2002,6,-90,22.22,-74.6166666666667,38.2,4
"large","2002-265809",2002,6,-90,22.22,-74.6166666666667,38.2,0
"small","2002-265813",2002,8,-120,21.67,-74.2833333333333,38.1,1
"large","2002-265813",2002,8,-120,21.67,-74.2833333333333,38.1,0
"small","2002-265903",2002,6,-120,20.56,-75.1833333333333,37.25,3
