tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,month,day,intdate,batch,site_no,county,filestat,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
15,6,10,DE,6,0,6,6,HOT DOG,6936,24,1815,1206,1493,5,1,1,2,2,1,1745,2161,9996,2,1,8,8,0,1,1,1,0,0,0,2,3806,7417,57,180,69,2,1,1,mdoc1206.tif,00045222.tif,2011,0,0,0,10,08,18908,1547,0471493,047,ORIGINAL,7,128,0,,Y,1,,2011-154706
15,6,24,MD,6,0,6,6,BALTIMORE CANYON,6936,24,1825,1206,1493,5,1,2,2,3,1,1800,7777,9996,2,12,12,8,0,1,1,1,0,0,0,5,3814,7350,65,300,70,1,1,1,mdoc1206.tif,00045224.tif,2011,0,0,0,10,08,18908,1547,0471493,047,ORIGINAL,7,125,0,,Y,1,,2011-154707
15,6,24,MD,6,0,6,6,HOT DOG,6936,24,1840,1206,1493,5,1,2,1,3,1,1815,4711,9996,2,2,8,8,0,1,1,1,0,0,0,6,3806,7417,42,120,71,2,1,1,mdoc1206.tif,00045226.tif,2011,0,0,0,10,08,18908,1547,0471493,047,ORIGINAL,7,123,0,,Y,1,,2011-154708
15,6,10,DE,6,0,6,6,BALTIMORE CANYON,6936,24,1900,1206,1493,5,1,1,2,2,1,1840,7777,9996,2,12,6,10,0,1,1,1,0,0,0,6,3814,7350,50,360,71,1,1,1,mdoc1206.tif,00045228.tif,2011,0,0,0,10,08,18908,1547,0471493,047,ORIGINAL,7,121,0,,Y,1,,2011-154709
15,6,24,MD,6,0,6,DRIFTING,HOT DOG,6936,24,1645,1207,0853,3,1,2,2,3,1,1630,7777,9996,2,12,11,22,0,1,1,1,0,1,1,5,3806,7417,60,600,98,1,1,1,mdoc1207.tif,00045234.tif,2011,0,0,0,10,09,18909,1548,0470853,047,ORIGINAL,7,131,0,,Y,1,,2011-154801
15,6,24,MD,6,0,6,DRIFTING,SPENCER CANYON,6936,24,1700,1207,0853,3,1,2,2,3,1,1200,4656,9996,2,12,8,29,0,1,1,1,0,1,1,3,9998,9998,87,600,70,1,2,1,mdoc1207.tif,00045236.tif,2011,0,0,0,10,09,18909,1548,0470853,047,ORIGINAL,7,130,1,Q15;,Y,2,,2011-154802
15,6,24,MD,6,0,6,6,JACKSPOT,6936,24,1710,1207,0853,3,1,1,2,2,1,1630,7777,9996,2,12,15,9,0,1,1,1,0,1,0,3,3805,7445,29,120,68,2,1,1,mdoc1207.tif,00045238.tif,2011,0,0,0,10,09,18909,1548,0470853,047,ORIGINAL,7,132,1,Q19;,Y,2,,2011-154803
15,6,10,DE,6,0,6,6,BALTIMORE CANYON,6936,24,1730,2114,1493,5,1,2,1,3,1,1710,7777,9996,2,2,10,8,0,1,1,1,0,0,0,5,3814,7350,48,300,73,1,1,1,mdoc2114.tif,00045242.tif,2011,0,0,0,10,07,18907,1550,0471493,047,ORIGINAL,7,135,0,,Y,2,,2011-155001
15,6,12,FL,6,0,6,CASTING,NORFOLK CANYON,6936,24,1830,2114,1493,5,1,1,2,2,2,1815,4656,1050,2,1,5,7,0,1,1,1,0,0,1,3,3705,7435,76,480,72,2,1,1,mdoc2114.tif,00045244.tif,2011,0,0,0,10,07,18907,1550,0471493,047,ORIGINAL,7,136,0,,N,2,,2011-155002
15,6,24,MD,6,0,6,6,BALTIMORE CANYON,6936,24,1850,2114,1493,5,1,1,2,2,2,1830,4656,9996,2,12,9,8,0,1,1,1,0,0,0,4,3814,7350,65,350,72,2,1,1,mdoc2114.tif,00045246.tif,2011,0,0,0,10,07,18907,1550,0471493,047,ORIGINAL,7,137,0,,Y,2,,2011-155003
15,6,33,NH,6,0,6,6,ISLE OF SHOALS,6583,33,1710,1103,0088,1,1,1,2,1,1,1630,4671,9996,2,2,4,8,1,0,1,0,1,1,0,2,4300,7029,12,210,61,2,1,1,nhoc1103.tif,00045386.tif,2011,0,1,0,10,08,18908,1552,0150088,015,ORIGINAL,1,244,0,,Y,2,,2011-155201
15,6,33,NH,6,0,6,LIVE LINE,BOONE ISLAND,6583,33,1720,1103,0088,1,1,1,2,1,7,1715,4671,9996,2,12,3,12,1,0,0,0,0,0,1,4,4307,7025,6,200,66,2,1,2,nhoc1103.tif,00045388.tif,2011,0,1,0,10,08,18908,1552,0150088,015,ORIGINAL,1,247,0,,N,2,,2011-155202
15,6,33,NH,6,0,6,6,WHALEBACK LEDGE,6583,33,1740,1103,1970,1,4,1,2,1,7,1735,4671,9996,2,1,3,6,0,0,1,0,1,1,0,3,4409,6833,6,225,64,2,1,1,nhoc1103.tif,00045389.tif,2011,0,1,0,10,08,18908,1552,0151970,015,ORIGINAL,1,246,0,,N,2,,2011-155203
15,6,33,NH,6,0,6,6,SCANTUM BASIN,6583,33,1745,1103,1970,1,4,1,2,1,7,1740,4671,9996,2,2,4,8,1,1,1,1,1,1,0,3,4250,7025,28,225,60,2,2,1,nhoc1103.tif,00045391.tif,2011,0,1,0,10,08,18908,1552,0151970,015,ORIGINAL,1,241,0,,Y,2,,2011-155204
15,6,33,NH,6,0,6,6,OLD SCANTUM,6583,33,1810,1103,1970,1,4,1,2,1,7,1805,4671,9996,2,2,3,12,1,0,0,0,1,0,0,2,4250,7025,30,240,61,2,1,1,nhoc1103.tif,00045393.tif,2011,0,1,0,10,08,18908,1552,0151970,015,ORIGINAL,1,243,0,,Y,2,,2011-155205
15,6,33,NH,6,0,6,LIVE LINE,BOONE ISLAND,6583,33,1815,1103,0003,1,3,1,2,1,6,1810,4671,9996,2,2,2,10,1,0,0,0,0,0,1,2,4307,7025,4,200,98,2,2,1,nhoc1103.tif,00045395.tif,2011,0,1,0,10,08,18908,1552,0150003,015,ORIGINAL,1,248,0,,N,2,,2011-155206
15,6,33,NH,6,0,6,LIVE LINE,BOONE ISLAND,6583,33,1830,1103,1970,1,4,2,1,3,7,1825,4671,9996,2,2,3,8,1,0,0,0,0,0,1,3,4307,7025,3,160,58,2,1,1,nhoc1103.tif,00045397.tif,2011,0,1,0,10,08,18908,1552,0151970,015,ORIGINAL,1,245,0,,Y,2,,2011-155207
15,6,33,NH,6,0,6,6,IPSWICH BAY,6583,33,1845,1103,1970,1,4,1,2,1,1,1840,4671,9996,2,2,3,10,0,0,1,0,0,1,0,3,4240,7040,15,140,62,2,1,1,nhoc1103.tif,00045399.tif,2011,1,0,0,10,08,18908,1552,0151970,015,ORIGINAL,1,242,0,,Y,2,,2011-155208
15,6,34,NJ,6,0,6,6,SPENCER CANYON,7361,34,1510,1108,9235,2,1,1,2,1,1,1445,4711,1050,2,12,9,19,0,0,1,0,0,1,0,7,3837,7312,80,480,72,2,1,1,njoc1108.tif,00045253.tif,2011,0,0,0,10,08,18908,1553,0019235,001,ORIGINAL,5,267,0,,Y,1,,2011-155301
15,6,34,NJ,6,0,6,6,WILMINGTON CANYON,7361,34,1600,1108,1724,2,1,1,2,2,1,1600,4711,1050,2,12,6,26,0,1,1,1,0,1,0,8,3824,7327,80,3000,73,2,1,1,njoc1108.tif,00045255.tif,2011,0,0,0,10,08,18908,1553,0011724,001,ORIGINAL,5,269,0,,Y,2,,2011-155302
15,6,34,NJ,6,0,6,6,SPENCER CANYON,7361,34,1645,1108,1724,2,1,1,2,2,1,1635,4711,1050,2,12,8,26,0,1,1,1,0,1,0,7,3837,7312,80,600,72,2,1,1,njoc1108.tif,00045257.tif,2011,0,0,0,10,08,18908,1553,0011724,001,ORIGINAL,5,268,0,,Y,1,,2011-155303
15,6,24,MD,6,0,6,6,SPENCER CANYON,7345,34,1137,1113,1717,13,1,1,2,2,7,1100,4711,4701,2,1,4,18,0,0,1,1,0,1,0,4,3837,7312,96,750,70,2,1,1,njoc1113.tif,00045268.tif,2011,0,1,0,10,09,18909,1554,0091717,009,ORIGINAL,5,296,0,,Y,2,,2011-155401
15,6,34,NJ,6,0,6,6,SPENCER CANYON,7345,34,1450,1113,1717,13,1,1,2,2,1,1400,4711,4328,2,12,9,13,1,0,1,1,0,1,0,6,3837,7312,93,700,70,2,1,1,njoc1113.tif,00045270.tif,2011,0,1,0,10,09,18909,1554,0091717,009,ORIGINAL,5,294,0,,Y,1,,2011-155402
15,6,34,NJ,6,0,6,6,SPENCER CANYON,7345,34,1555,1113,9213,13,1,1,2,2,1,1315,4711,4328,2,12,5,20,0,1,1,1,0,1,0,8,3837,7312,76,700,70,1,1,1,njoc1113.tif,00045272.tif,2011,0,0,0,10,09,18909,1554,0099213,009,ORIGINAL,5,295,0,,Y,2,,2011-155403
