intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,species,batch,upprbill,lowerjaw,length,gender,curve,prep,recno,curvey,lenth,q11a,s_index,serrflag,sprobfld,id
6783,8,1,2017,06,03,002701,0011216,0,0,51,01,1201,1,VAJN1201.pdf,00107798.tif,ORIGINAL,3551,0027,9996,9996,1385,1,9996,0,1,,,2,109,0,,2017-002701
7370,11,1,2017,06,03,002102,0091131,0,0,34,02,1110,1,NJJN1110.pdf,00107772.tif,ORIGINAL,3551,0021,9996,9996,1509,2,9996,0,1,,,3,91,0,,2017-002102
6447,3,1,2017,06,11,013403,0470853,0,0,24,03,1201,1,MDJN1201.pdf,00108238.tif,ORIGINAL,3551,0134,9996,9996,1515,1,9996,0,1,,,2,75,0,,2017-013403
7466,4,1,2017,06,16,023603,1030085,0,0,36,03,2113,1,NYJN2113.pdf,00108806.tif,ORIGINAL,3551,0236,9996,9996,1602,1,9996,0,1,,,3,93,0,,2017-023603
6416,6,1,2017,06,25,034112,0251050,0,0,34,12,1116,1,NJJN1116.pdf,00109527.tif,ORIGINAL,3551,0341,9996,9996,1625,1,9996,0,1,,,2,89,0,,2017-034112
7517,3,1,2017,06,27,034403,1030589,0,0,36,03,2117,1,NYJN2117.pdf,00109550.tif,ORIGINAL,3551,0344,9996,9996,1625,1,9996,0,1,,,2,102,0,,2017-034403
7517,3,1,2017,06,27,034405,1030589,0,1,36,05,2117,1,NYJN2117.pdf,00109554.tif,ORIGINAL,3551,0344,9996,9996,1625,2,9996,0,1,,,2,103,0,,2017-034405
7683,7,1,2017,06,17,022801,0293207,0,0,34,01,1205,1,NJJN1205.pdf,00108775.tif,ORIGINAL,3551,0228,9996,9996,1626,1,9996,0,1,,,2,92,0,,2017-022801
7684,4,1,2017,06,23,034503,1030137,0,0,36,03,2215,1,NYJN2215.pdf,00109569.tif,ORIGINAL,3551,0345,9996,9996,1631,1,9996,0,1,,,2,108,0,,2017-034503
6013,10,1,2017,06,25,036607,0299245,0,0,34,07,1107,1,NJJN1107.pdf,00109674.tif,ORIGINAL,3551,0366,9996,9996,1678,1,9996,0,1,,,2,83,0,,2017-036607
6013,10,1,2017,06,25,036603,0299245,0,0,34,03,1107,1,NJJN1107.pdf,00109664.tif,ORIGINAL,3551,0366,9996,9996,1686,2,9996,0,1,,,3,80,0,,2017-036603
6013,10,1,2017,06,25,036606,0299245,0,0,34,06,1107,1,NJJN1107.pdf,00109672.tif,ORIGINAL,3551,0366,9996,9996,1756,2,9996,0,1,,,2,82,0,,2017-036606
6013,10,1,2017,06,25,036605,0299245,0,0,34,05,1107,1,NJJN1107.pdf,00109670.tif,ORIGINAL,3551,0366,9996,9996,1763,1,9996,0,1,,,2,81,0,,2017-036605
6447,3,1,2017,06,04,010803,0470853,0,0,24,03,1204,1,MDJN1204.pdf,00108114.tif,ORIGINAL,3551,0108,9996,9996,1793,1,9996,0,1,,,3,73,0,,2017-010803
7466,5,1,2017,06,23,030808,1030123,0,0,36,08,2120,1,NYJN2120.pdf,00109281.tif,ORIGINAL,3551,0308,9996,9996,1796,1,9996,0,1,,,3,101,0,,2017-030808
6013,3,1,2017,06,08,013703,0090900,0,0,34,03,2105,1,NJJN2105.pdf,00108278.tif,ORIGINAL,3551,0137,9996,9996,1801,2,9996,0,1,,,3,77,0,,2017-013703
7517,3,1,2017,06,27,034408,1030589,0,0,36,08,2117,1,NYJN2117.pdf,00109560.tif,ORIGINAL,3551,0344,9996,9996,1804,2,9996,0,1,,,2,104,0,,2017-034408
6936,5,1,2017,06,04,007702,0471493,0,0,24,02,1106,1,MDJN1106.pdf,00107975.tif,ORIGINAL,3551,0077,9996,9996,1814,1,9996,0,1,,,3,76,0,,2017-007702
6416,6,1,2017,06,25,034113,0251050,0,0,34,13,1116,1,NJJN1116.pdf,00109529.tif,ORIGINAL,3551,0341,9996,9996,1832,1,9996,0,1,,,2,90,0,,2017-034113
7466,5,1,2017,06,23,030807,1030037,0,0,36,07,2120,1,NYJN2120.pdf,00109279.tif,ORIGINAL,3551,0308,9996,9996,1848,1,9996,0,1,,,2,100,0,,2017-030807
