tourn_name,location,id,tracker,intcode,intdate,month,day,year,inttime,stcode,control,docno,county,siteno,site_no,cluster,sitetype,prim_op,todayt,perm_pos,category,perm_ver,cgnbr_pos,strgnbr_pos,ppstate,ppstfips,returnt,prim1,prim2,tourn,tcode,hook,hook_oth,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chunk,fm_chum,fm_other,fm_other_oth,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,measur,gear,gear_oth,issueddate,CoastNum,StReg,boat,st
6,20 FATHOM FINGERS,2008-005812,005812,6555,17690,06,07,2008,1825,24,1105,12,047,0856,0470856,4,3,1,2,1,2,1,2,1,MD,24,1820,3551,9996,2,6,2,6,3,6,0,0,1,0,0,1,0,6,6,3812,7437,35,160,62,1,2,1,2,6,6,,,,,
6,OCEAN,2008-005901,005901,6824,17690,06,07,2008,1730,34,1103,01,009,1131,0091131,3,1,1,2,1,1,1,8,8,NJ,34,1650,4821,9996,2,6,12,6,3,4,0,0,1,1,1,1,0,6,4,9999,9999,25,150,60,1,2,2,2,6,6,,,,,
6,OCEAN,2008-005902,005902,6824,17690,06,07,2008,1745,34,1103,02,009,1131,0091131,3,1,1,2,1,2,1,7,7,NJ,34,1600,4821,9996,2,6,12,6,97,5,1,0,1,1,1,1,0,6,2,9999,9999,12,30,62,1,2,2,2,6,6,,,,,
6,BAY,2008-005903,005903,6824,17690,06,07,2008,1930,34,1103,03,009,0900,0090900,3,1,2,1,1,3,1,6,1,NJ,34,1930,4821,9996,2,6,1,6,4,6,0,0,1,0,0,0,1,ANCHOR,4,9999,9999,9,35,65,1,1,1,2,6,6,,,,,
6,BAY,2008-005904,005904,6824,17690,06,07,2008,2000,34,1103,04,009,0900,0090900,3,1,2,1,1,3,1,6,1,NJ,34,1900,4821,9996,2,6,2,6,4,6,1,0,0,0,0,0,1,ANCHOR,4,9999,9999,6,30,67,1,1,1,2,6,6,,,,,
6,GLORY HOLE,2008-006101,006101,6855,17691,06,08,2008,1743,36,1104,01,059,0213,0590213,1,1,1,2,1,2,1,6,1,NY,36,1648,4670,9996,2,6,2,6,9,6,0,1,0,1,0,0,0,6,4,3956,7315,42,215,62,1,2,1,2,6,6,,,,,
6,7,2008-006201,006201,6928,17691,06,08,2008,1820,51,1106,01,810,0157,8100157,2,3,1,2,2,6,6,2,1,VA,51,1300,570,1070,2,6,1,6,2,96,0,0,1,0,0,0,1,BAIT FISHING,97,9998,9998,997,16,73,1,2,1,2,6,6,,,,,
6,NORFOLK CANYON,2008-006301,006301,2836,17691,06,08,2008,1700,51,1107,01,810,0088,8100088,3,1,2,1,1,3,7,1,6,VA,51,1530,4656,9996,2,6,2,6,11,16,0,1,1,1,0,0,0,6,9,3705,7435,60,330,72,1,2,1,2,6,6,,,,,
6,CIGAR,2008-006302,006302,2836,17691,06,08,2008,1835,51,1107,02,810,0088,8100088,3,1,2,1,1,3,1,1,6,VA,51,1825,4711,4670,2,6,2,6,8,7,0,1,1,1,0,0,0,6,6,3630,7450,45,330,72,1,2,1,1,6,6,,,,,
6,LATIMER SHOALS,2008-006401,006401,6633,17691,06,08,2008,1830,51,1108,01,131,0302,1310302,6,3,1,2,2,6,6,2,1,VA,51,1820,570,9996,2,6,1,6,6,11,1,1,1,0,0,1,0,6,3,3708,7560,3,16,72,1,1,1,2,6,6,,,,,
