tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
071202,6,36,NY,6,02,6,6,HUDSON CANYON,7684,36,2115,2106,0037,5,1,1,2,2,6,1725,4678,4711,2,2,10,30,0,1,1,1,0,0,0,1,3930,7220,80,1700,70,1,2,1,NYJL2106.pdf,00111716.tif,2017,0,1,1,ORIGINAL,07,17,21017,0712,1030037,103,4,784,0,,N,1,,2017-071202
071203,6,09,CT,6,03,6,6,BUTTERFISH HOLE,7684,36,1820,2106,0037,5,1,1,2,2,7,1810,3531,3551,2,2,4,8,0,0,1,0,1,0,0,4,4050,7135,20,190,76,1,2,1,NYJL2106.pdf,00111718.tif,2017,0,1,0,ORIGINAL,07,17,21017,0712,1030037,103,4,786,0,,N,1,,2017-071203
071204,6,36,NY,6,04,6,6,15 MI S MONTAUK,7684,36,1805,2106,0037,5,1,1,2,8,6,1750,3551,3531,2,1,2,6,0,0,1,0,1,0,0,2,4045,7149,15,155,71,1,2,2,NYJL2106.pdf,00111720.tif,2017,0,0,0,ORIGINAL,07,17,21017,0712,1030037,103,4,787,0,,N,2,,2017-071204
071205,6,09,CT,6,05,6,6,DUMPING GROUND,7684,36,1655,2106,0037,5,1,1,2,8,6,1650,4711,9996,2,1,5,6,0,1,0,1,0,0,0,1,4045,7055,20,180,71,1,1,2,NYJL2106.pdf,00111721.tif,2017,0,1,0,ORIGINAL,07,17,21017,0712,1030037,103,4,788,0,,N,2,,2017-071205
071401,6,36,NY,6,01,6,6,OCEAN,7466,36,1710,2126,0137,4,1,1,2,2,6,45,4691,4711,2,2,10,30,1,1,1,1,1,1,0,7,9998,9998,998,800,78,1,2,1,NYJL2126.pdf,00111729.tif,2017,0,1,0,ORIGINAL,07,18,21018,0714,1030137,103,4,808,1,Q15;,N,2,,2017-071401
071402,6,36,NY,6,02,6,6,E ATLANTIS CANYON,7466,36,1830,2126,0134,4,1,1,2,2,6,1530,4711,4691,2,2,9,24,0,1,0,1,0,0,0,2,3947,7013,85,600,72,1,2,1,NYJL2126.pdf,00111731.tif,2017,0,1,0,REVISED,07,18,21018,0714,1030134,103,4,809,0,,N,2,,2017-071402
071403,6,36,NY,6,03,6,6,ATLANTIS CANYON,7466,36,1722,2126,0137,4,1,1,2,1,1,1600,4691,4711,2,2,11,31,0,1,1,1,1,1,0,7,3947,7013,88,900,75,1,1,1,NYJL2126.pdf,00111733.tif,2017,0,1,0,ORIGINAL,07,18,21018,0714,1030137,103,4,807,0,,N,2,,2017-071403
071501,6,09,CT,6,01,6,6,BUTTERFISH HOLE,7684,36,1525,2212,0133,5,1,1,2,9,6,1430,3551,3531,2,1,3,2,0,0,1,0,1,1,0,3,4050,7135,25,189,73,1,2,1,NYJL2212.pdf,00111738.tif,2017,0,0,0,ORIGINAL,07,18,21018,0715,1030133,103,4,829,0,,N,1,,2017-071501
071502,6,09,CT,6,02,6,6,BUTTERFISH HOLE,7684,36,1538,2212,0133,5,1,1,2,2,1,1500,3551,3531,2,1,3,3,0,0,1,0,1,0,0,4,4050,7135,25,185,73,1,1,1,NYJL2212.pdf,00111740.tif,2017,0,0,0,ORIGINAL,07,18,21018,0715,1030133,103,4,828,0,,Y,2,,2017-071502
071503,6,36,NY,6,03,6,6,20 MILES SOUTH,7684,36,1545,2212,0133,5,1,2,1,3,1,1510,3551,9996,2,2,3,4,0,0,1,0,1,0,0,4,4100,7148,20,190,74,1,2,1,NYJL2212.pdf,00111742.tif,2017,0,0,0,ORIGINAL,07,18,21018,0715,1030133,103,4,827,0,,N,2,,2017-071503
