intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,species,batch,upprbill,lowerjaw,length,gender,curve,prep,recno,filestat,s_index,serrflag,sprobfld,id
6633,3,1,2011,06,22,022901,8100088,0,0,51,01,2215,1,vajn2215.tif,00036305.tif,1050,0229,9996,9996,816,2,9996,0,5,ORIGINAL,90,0,,2011-022901
7392,1,1,2011,06,26,027403,8100002,0,0,51,03,1207,1,vajn1207.tif,00036756.tif,1050,0274,9996,9996,817,2,9996,0,3,ORIGINAL,150,0,,2011-027403
6783,4,3,2011,06,11,011801,0470856,0,1,24,01,1101,1,mdjn1101.tif,00035573.tif,1050,0118,9996,9996,820,1,9996,0,1,ORIGINAL,24,0,,2011-011801
7326,7,1,2011,06,25,025704,0470938,1,1,24,04,1111,1,mdjn1111.tif,00036547.tif,1050,0257,9996,9996,820,1,9996,0,2,ORIGINAL,60,0,,2011-025704
6633,3,1,2011,06,22,022901,8100088,0,0,51,01,2215,1,vajn2215.tif,00036305.tif,1050,0229,9996,9996,820,1,9996,0,3,ORIGINAL,88,0,,2011-022901
6633,3,1,2011,06,22,022901,8100088,0,0,51,01,2215,1,vajn2215.tif,00036305.tif,1050,0229,9996,9996,820,1,9996,0,6,ORIGINAL,91,0,,2011-022901
7393,3,1,2011,06,15,014101,8100088,0,0,51,01,2115,1,vajn2115.tif,00035643.tif,1050,0141,9996,9996,823,2,9996,0,1,ORIGINAL,170,0,,2011-014101
6778,8,3,2011,06,25,028208,0010039,0,0,51,08,1107,1,vajn1107.tif,00036829.tif,1050,0282,9996,9996,833,1,9996,0,1,ORIGINAL,124,0,,2011-028208
6633,3,1,2011,06,22,022902,8100088,0,0,51,02,2215,1,vajn2215.tif,00036307.tif,1050,0229,9996,9996,837,2,9996,0,2,ORIGINAL,94,0,,2011-022902
6478,2,1,2011,06,04,002104,0051599,0,0,10,04,1202,1,dejn1202.tif,00035087.tif,1050,0021,9996,9996,838,2,9996,0,5,ORIGINAL,14,0,,2011-002104
7326,7,1,2011,06,19,018004,0470938,1,0,24,04,1109,1,mdjn1109.tif,00036142.tif,1050,0180,9996,9996,840,1,9996,0,6,ORIGINAL,52,0,,2011-018004
7393,1,1,2011,06,11,011204,8100002,0,0,51,04,1201,1,vajn1201.tif,00035543.tif,1050,0112,9996,9996,844,2,9996,0,2,ORIGINAL,161,0,,2011-011204
6478,2,1,2011,06,04,002104,0051599,0,0,10,04,1202,1,dejn1202.tif,00035087.tif,1050,0021,9996,9996,847,2,9996,0,4,ORIGINAL,13,0,,2011-002104
6778,8,1,2011,06,25,028205,0010039,0,1,51,05,1107,1,vajn1107.tif,00036825.tif,1050,0282,9996,9996,853,2,9996,0,5,ORIGINAL,121,0,,2011-028205
6783,3,1,2011,06,22,023501,0470853,0,0,24,01,2111,1,mdjn2111.tif,00036333.tif,1050,0235,9996,9996,855,2,9996,0,1,ORIGINAL,25,0,,2011-023501
6478,2,1,2011,06,04,002104,0051599,0,0,10,04,1202,1,dejn1202.tif,00035087.tif,1050,0021,9996,9996,859,1,9996,0,3,ORIGINAL,12,0,,2011-002104
6633,1,1,2011,06,12,011001,8100091,0,0,51,01,1110,1,vajn1110.tif,00035526.tif,1050,0110,9996,9996,860,2,9996,0,9,ORIGINAL,84,0,,2011-011001
6778,8,3,2011,06,25,028202,0010039,0,0,51,02,1107,1,vajn1107.tif,00036819.tif,1050,0282,9996,9996,862,2,9996,0,2,ORIGINAL,113,0,,2011-028202
7393,1,1,2011,06,11,011204,8100002,0,0,51,04,1201,1,vajn1201.tif,00035543.tif,1050,0112,9996,9996,867,2,9996,0,4,ORIGINAL,163,0,,2011-011204
6783,3,1,2011,06,25,025602,0470853,0,0,24,02,1110,1,mdjn1110.tif,00036527.tif,1050,0256,9996,9996,868,1,9996,0,3,ORIGINAL,27,0,,2011-025602
6936,5,1,2011,06,19,016503,0471493,0,0,24,03,1108,1,mdjn1108.tif,00035781.tif,1050,0165,9996,9996,868,2,9996,0,2,ORIGINAL,36,0,,2011-016503
6633,1,1,2011,06,12,011001,8100091,0,0,51,01,1110,1,vajn1110.tif,00035526.tif,1050,0110,9996,9996,873,2,9996,0,10,ORIGINAL,85,0,,2011-011001
6778,8,3,2011,06,25,028202,0010039,0,0,51,02,1107,1,vajn1107.tif,00036819.tif,1050,0282,9996,9996,873,2,9996,0,3,ORIGINAL,114,0,,2011-028202
7392,1,1,2011,06,15,014701,8100002,0,0,51,01,2211,1,vajn2211.tif,00035696.tif,1050,0147,9996,9996,882,1,9996,2,13,ORIGINAL,140,0,,2011-014701
