tracker,stcode,control,docno,c_index,cerrflag,cprobfld,faxno,batch,intcode,tifno,cluster,sitetype,q11a,q23,interr,filestat,month,day,year,enterr,site_no,othlp,species,row,kept,observe,alive,dead,sell,weighed,measur,id
358905,24,2111,05,297,0,,MDJL2111.pdf,3589,6555,00162938.tif,4,3,2,4,0,ORIGINAL,07,05,2021,0,0470856,BLUELINE TILEFISH,4440,1,12,0,0,0,0,0,2,2021-358905
358908,24,2111,08,299,0,,MDJL2111.pdf,3589,6555,00162942.tif,4,3,2,3,0,ORIGINAL,07,05,2021,0,0470856,YFT,4711,1,1,0,0,0,0,0,2,2021-358908
358908,24,2111,08,298,0,,MDJL2111.pdf,3589,6555,00162942.tif,4,3,2,3,0,ORIGINAL,07,05,2021,0,0470856,WHITE MARLIN,2161,2,0,0,1,0,0,0,2,2021-358908
358909,24,2111,09,301,0,,MDJL2111.pdf,3589,6555,00162944.tif,4,3,2,3,0,ORIGINAL,07,05,2021,0,0470856,YFT,4711,1,2,0,0,0,0,0,2,2021-358909
358909,24,2111,09,300,0,,MDJL2111.pdf,3589,6555,00162944.tif,4,3,2,3,0,ORIGINAL,07,05,2021,0,0470856,WHITE MARLIN,2161,2,0,0,1,0,0,0,2,2021-358909
359001,34,1206,01,717,0,,NJJL1206.pdf,3590,7897,00162949.tif,3,1,3,8,0,ORIGINAL,07,04,2021,0,0090900,BIGEYE TUNA,4691,1,1,1,0,0,0,0,2,2021-359001
359001,34,1206,01,718,0,,NJJL1206.pdf,3590,7897,00162949.tif,3,1,3,8,0,ORIGINAL,07,04,2021,0,0090900,YFT,4711,2,5,1,0,0,0,0,2,2021-359001
359201,09,1208,01,29,1,KEPT;,CTJL1208.pdf,3592,6773,00162995.tif,3,1,2,3,1,ORIGINAL,07,04,2021,0,0113234,BFT SCHOOL,4677,1,3,3,0,0,0,0,1,2021-359201
359201,09,1208,01,30,1,KEPT;,CTJL1208.pdf,3592,6773,00162995.tif,3,1,2,3,1,ORIGINAL,07,04,2021,0,0113234,BLUE SHARK,4931,2,0,0,10,0,0,0,1,2021-359201
359201,09,1208,01,28,1,KEPT;,CTJL1208.pdf,3592,6773,00162995.tif,3,1,2,3,1,ORIGINAL,07,04,2021,0,0113234,SHORTFIN MAKO SHARK,3551,3,0,0,2,0,0,0,1,2021-359201
359202,09,1208,02,31,1,ALIVE;,CTJL1208.pdf,3592,6773,00162997.tif,3,1,2,4,0,ORIGINAL,07,04,2021,0,0110630,SHORTFIN MAKO SHARK,3551,1,1,1,8,0,0,1,1,2021-359202
359202,09,1208,02,32,0,,CTJL1208.pdf,3592,6773,00162997.tif,3,1,2,4,0,ORIGINAL,07,04,2021,0,0110630,BLUE SHARK,4931,2,0,0,4,0,0,0,1,2021-359202
359203,09,1208,03,33,0,,CTJL1208.pdf,3592,6773,00162999.tif,3,1,2,5,0,ORIGINAL,07,04,2021,0,0110880,BFT SCHOOL,4677,1,2,2,3,0,0,0,2,2021-359203
359301,10,1203,01,62,0,,DEJL1203.pdf,3593,6783,00163003.tif,2,1,2,6,0,ORIGINAL,07,04,2021,0,0051599,YFT,4711,1,3,3,0,0,0,0,2,2021-359301
359301,10,1203,01,61,0,,DEJL1203.pdf,3593,6783,00163003.tif,2,1,2,6,0,ORIGINAL,07,04,2021,0,0051599,SKIPJACK TUNA,4661,2,0,0,1,0,0,0,2,2021-359301
359302,10,1203,02,63,0,,DEJL1203.pdf,3593,6783,00163005.tif,2,1,2,2,0,ORIGINAL,07,04,2021,0,0051599,DOLPHIN,1050,1,1,0,0,0,0,0,2,2021-359302
359303,10,1203,03,66,0,,DEJL1203.pdf,3593,6783,00163007.tif,2,1,2,4,0,ORIGINAL,07,04,2021,0,0051599,YFT,4711,1,2,0,0,0,0,0,2,2021-359303
359303,10,1203,03,65,0,,DEJL1203.pdf,3593,6783,00163007.tif,2,1,2,4,0,ORIGINAL,07,04,2021,0,0051599,SHORTFIN MAKO SHARK,3551,2,0,0,1,0,0,0,2,2021-359303
359303,10,1203,03,64,0,,DEJL1203.pdf,3593,6783,00163007.tif,2,1,2,4,0,ORIGINAL,07,04,2021,0,0051599,DOLPHIN,1050,3,1,0,0,0,0,0,2,2021-359303
359304,10,1203,04,68,0,,DEJL1203.pdf,3593,6783,00163009.tif,2,1,2,5,0,ORIGINAL,07,04,2021,0,0051599,YFT,4711,1,2,2,0,0,0,0,2,2021-359304
359304,10,1203,04,67,0,,DEJL1203.pdf,3593,6783,00163009.tif,2,1,2,5,0,ORIGINAL,07,04,2021,0,0051599,BLUELINE TILEFISH,4440,2,15,0,0,0,0,0,2,2021-359304
