tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
15,6,34,NJ,6,05,6,6,TOMS CANYON,6416,34,1700,1103,1005,6,1,1,2,3,1,1615,4711,9996,2,12,7,12,1,1,1,1,0,1,0,4,3911,7242,87,800,75,2,1,1,njse1103.tif,00056633.tif,2012,0,0,0,ORIGINAL,09,15,19251,1560,0251005,025,5,474,0,,Y,2,,2012-156005
15,6,24,MD,6,01,6,6,HOT DOG,6936,24,1815,2101,0938,7,1,2,2,3,1,1800,7777,9996,2,1,8,8,0,0,1,1,0,0,0,5,3806,7417,40,140,98,1,1,1,mdse2101.tif,00056660.tif,2012,0,0,0,ORIGINAL,09,20,19256,1564,0470938,047,7,233,0,,N,1,,2012-156401
15,6,33,NH,6,01,6,6,SCANTUM,7438,33,1730,2202,0020,1,1,1,2,3,1,1715,4679,9996,2,2,4,7,1,0,1,0,0,1,0,2,9998,9998,12,220,98,2,2,2,nhse2202.tif,00056670.tif,2012,1,0,0,ORIGINAL,09,20,19256,1567,0150020,015,1,461,0,,Y,2,,2012-156701
15,6,33,NH,6,01,6,6,MUD HOLE,7446,33,1705,2205,0099,2,1,1,2,3,7,1630,4679,9996,2,2,3,8,1,0,1,0,0,1,0,2,9997,9997,14,240,65,2,1,2,nhse2205.tif,00056674.tif,2012,1,1,0,ORIGINAL,09,17,19253,1568,0150099,015,1,466,1,Q24_LONG/LAT;,Y,2,,2012-156801
15,6,51,VA,6,01,7,JIGGING,SHAGWONG REEF,7422,36,1510,2204,0146,4,1,1,2,4,6,1500,4681,9996,2,23,1,6,0,1,0,0,0,0,1,1,4106,7154,1,20,67,2,1,1,nyse2204.tif,00056697.tif,2012,0,1,0,ORIGINAL,09,20,19256,1573,1030146,103,4,636,1,Q26;,N,2,,2012-157301
15,,36,NY,F.C.,02,6,FLY FISHING,SHAGWONG REEF,7422,36,1600,2204,0135,4,1,2,1,4,6,1530,4681,9996,1,1,2,7,0,1,0,0,0,0,1,2,4106,7154,1,12,98,2,1,1,nyse2204.tif,00056699.tif,2012,0,0,0,ORIGINAL,09,20,19256,1573,1030135,103,4,27,1,tcode;Q26;,N,2,,2012-157302
15,,34,NJ,F.C.,03,J,JIGGING,SHAGWONG REEF,7422,36,1610,2204,0135,4,1,1,2,4,6,1530,4681,9996,1,3,2,7,0,1,0,0,0,0,1,2,4106,7154,1,20,98,2,1,1,nyse2204.tif,00056701.tif,2012,0,0,0,ORIGINAL,09,20,19256,1573,1030135,103,4,29,1,tcode;Q26;,N,2,,2012-157303
15,,36,NY,F.C.,04,6,FLY AND SPIN,SHAGWONG REEF,7422,36,1625,2204,0135,4,1,1,2,4,6,1530,4681,9996,1,2,2,6,0,1,0,0,0,0,1,3,4106,7154,1,25,69,1,1,1,nyse2204.tif,00056703.tif,2012,0,1,0,ORIGINAL,09,20,19256,1573,1030135,103,4,28,1,tcode;,N,2,,2012-157304
15,,36,NY,F.C.,05,6,SPIN CASTING,FORT POND BAY,7422,36,1630,2204,0135,4,1,2,1,3,1,1530,4681,9996,1,2,2,4,0,1,0,0,0,0,1,2,9998,9998,1,40,98,2,1,1,nyse2204.tif,00056705.tif,2012,0,0,0,ORIGINAL,09,20,19256,1573,1030135,103,4,26,1,tcode;,Y,2,,2012-157305
15,,09,CT,F.C.,06,6,FLY AND SPIN,SHAGWONG REEF,7422,36,1645,2204,0135,4,1,1,2,4,6,1640,4681,9996,1,2,2,4,0,1,0,0,0,0,1,3,4106,7154,1,60,98,2,1,2,nyse2204.tif,00056707.tif,2012,0,0,0,ORIGINAL,09,20,19256,1573,1030135,103,4,30,1,tcode;,N,2,,2012-157306
