intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,length,species,batch,upprbill,lowerjaw,gender,curve,prep,recno,s_index,serrflag,sprobfld,id
6757,2,1,2012,06,23,027004,1030342,0,0,36,04,1105,1,nyjn1105.tif,00048135.tif,ORIGINAL,1757,3551,0270,9996,9996,2,9996,0,1,143,0,,2012-027004
6416,10,1,2012,06,23,026419,0290894,0,0,34,19,1117,1,njjn1117.tif,00048332.tif,ORIGINAL,1764,3551,0264,9996,9996,1,9996,0,1,123,0,,2012-026419
6416,10,1,2012,06,23,026404,0290894,0,0,34,04,1117,1,njjn1117.tif,00048302.tif,ORIGINAL,1782,3551,0264,9996,9996,1,9996,0,1,110,0,,2012-026404
6416,10,1,2012,06,23,026414,0290894,0,0,34,14,1117,1,njjn1117.tif,00048322.tif,ORIGINAL,1783,3551,0264,9996,9996,2,9996,0,1,120,0,,2012-026414
6615,4,1,2012,06,16,018208,1030085,1,1,36,08,1115,1,nyjn1115.tif,00047626.tif,ORIGINAL,1784,3551,0182,9996,9996,2,9996,0,1,137,0,,2012-018208
6855,1,1,2012,06,16,019524,0590213,0,0,36,24,1121,1,nyjn1121.tif,00047732.tif,ORIGINAL,1791,3551,0195,9996,9996,1,9996,0,1,161,0,,2012-019524
6416,10,1,2012,06,24,027210,0290894,0,0,34,10,1122,1,njjn1122.tif,00048184.tif,ORIGINAL,1793,3551,0272,9996,9996,2,9996,0,1,131,0,,2012-027210
6936,5,1,2012,06,01,001207,0471493,0,0,24,07,2201,1,mdjn2201.tif,00046549.tif,ORIGINAL,1797,3551,0012,9996,9996,1,9996,2,3,93,0,,2012-001207
6855,1,1,2012,06,16,019507,0590213,0,0,36,07,1121,1,nyjn1121.tif,00047698.tif,ORIGINAL,1802,3551,0195,9996,9996,2,9996,0,1,153,0,,2012-019507
7370,3,1,2012,06,02,001401,0090900,0,0,34,01,1111,1,njjn1111.tif,00046557.tif,ORIGINAL,1804,3551,0014,9996,9996,1,9996,0,1,133,0,,2012-001401
6855,1,1,2012,06,09,015101,0590624,0,0,36,01,1207,1,nyjn1207.tif,00047398.tif,ORIGINAL,1808,3551,0151,9996,9996,1,9996,0,1,147,0,,2012-015101
6416,10,1,2012,06,23,026412,0290894,0,0,34,12,1117,1,njjn1117.tif,00048318.tif,ORIGINAL,1832,3551,0264,9996,9996,2,9996,0,1,118,0,,2012-026412
