intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,filestat,c_index,cerrflag,cprobfld,id
6783,2,1,2011,06,30,029003,0051599,0,0,10,03,2102,2,dejn2102.tif,00036917.tif,SKIPJACK TUNA,4661,0290,1,0,0,5,0,0,0,ORIGINAL,77,0,,2011-029003
6783,2,1,2011,06,30,029003,0051599,0,0,10,03,2102,2,dejn2102.tif,00036917.tif,BFT SCHOOL,4677,0290,4,1,1,0,0,0,0,ORIGINAL,78,0,,2011-029003
6447,3,1,2011,06,05,004301,0470853,0,0,24,01,1201,2,mdjn1201.tif,00035196.tif,COMMON THRESHER SHARK,3531,0043,2,0,0,1,0,0,0,ORIGINAL,79,1,ALIVE;,2011-004301
6447,3,1,2011,06,05,004301,0470853,0,0,24,01,1201,2,mdjn1201.tif,00035196.tif,DUSKY SHARK,4841,0043,1,0,0,1,0,0,0,ORIGINAL,80,0,,2011-004301
6447,3,1,2011,06,05,004302,0470853,0,0,24,02,1201,2,mdjn1201.tif,00035198.tif,DUSKY SHARK,4841,0043,1,0,0,1,0,0,0,ORIGINAL,81,0,,2011-004302
6447,3,1,2011,06,05,004305,0470853,0,0,24,05,1201,2,mdjn1201.tif,00035202.tif,DUSKY SHARK,4841,0043,1,0,0,1,0,0,0,ORIGINAL,82,0,,2011-004305
6447,3,1,2011,06,05,004305,0470853,0,0,24,05,1201,2,mdjn1201.tif,00035202.tif,TIGER SHARK,4911,0043,2,0,0,1,0,0,0,ORIGINAL,83,1,CAUGHT OUT OF AREA;,2011-004305
6447,3,1,2011,06,05,004306,0470853,0,0,24,06,1201,2,mdjn1201.tif,00035204.tif,SHORTFIN MAKO SHARK,3551,0043,1,0,0,1,0,0,0,ORIGINAL,84,0,,2011-004306
6447,3,1,2011,06,05,004306,0470853,0,0,24,06,1201,2,mdjn1201.tif,00035204.tif,DUSKY SHARK,4841,0043,2,0,0,1,0,0,0,ORIGINAL,85,0,,2011-004306
6447,3,1,2011,06,05,004306,0470853,0,0,24,06,1201,2,mdjn1201.tif,00035204.tif,TIGER SHARK,4911,0043,3,0,0,1,0,0,0,ORIGINAL,86,1,CAUGHT OUT OF AREA;,2011-004306
6447,3,1,2011,06,05,004307,0470853,0,0,24,07,1201,1,mdjn1201.tif,00035206.tif,SHORTFIN MAKO SHARK,3551,0043,4,1,1,0,0,0,1,ORIGINAL,87,0,,2011-004307
6447,3,1,2011,06,05,004307,0470853,0,0,24,07,1201,1,mdjn1201.tif,00035206.tif,DUSKY SHARK,4841,0043,1,0,0,5,0,0,0,ORIGINAL,88,0,,2011-004307
6447,3,1,2011,06,05,004307,0470853,0,0,24,07,1201,1,mdjn1201.tif,00035206.tif,TIGER SHARK,4911,0043,2,0,0,1,0,0,0,ORIGINAL,89,1,CAUGHT OUT OF AREA;,2011-004307
6447,3,1,2011,06,05,004308,0470853,0,0,24,08,1201,2,mdjn1201.tif,00035208.tif,SANDBAR SHARK,4821,0043,2,0,0,2,0,0,0,ORIGINAL,90,0,,2011-004308
6447,3,1,2011,06,05,004308,0470853,0,0,24,08,1201,2,mdjn1201.tif,00035208.tif,DUSKY SHARK,4841,0043,1,0,0,1,0,0,0,ORIGINAL,91,0,,2011-004308
6447,3,1,2011,06,05,004309,0470853,0,0,24,09,1201,1,mdjn1201.tif,00035210.tif,LITTLE TUNNY,4681,0043,2,1,1,0,0,0,0,ORIGINAL,92,0,,2011-004309
6447,3,1,2011,06,05,004309,0470853,0,0,24,09,1201,1,mdjn1201.tif,00035210.tif,YFT,4711,0043,1,2,2,3,0,0,0,ORIGINAL,93,0,,2011-004309
6447,3,1,2011,06,05,004310,0470853,1,0,24,10,1201,1,mdjn1201.tif,00035212.tif,BLUEFISH,230,0043,7,1,1,0,0,0,0,ORIGINAL,94,0,,2011-004310
6447,3,1,2011,06,05,004310,0470853,1,0,24,10,1201,1,mdjn1201.tif,00035212.tif,ATLANTIC BONITO,330,0043,6,1,1,0,0,0,0,ORIGINAL,95,0,,2011-004310
6447,3,1,2011,06,05,004310,0470853,1,0,24,10,1201,1,mdjn1201.tif,00035212.tif,DOLPHIN,1050,0043,4,1,1,0,0,0,0,ORIGINAL,96,0,,2011-004310
6447,3,1,2011,06,05,004310,0470853,1,0,24,10,1201,1,mdjn1201.tif,00035212.tif,SHORTFIN MAKO SHARK,3551,0043,2,1,1,0,0,0,0,ORIGINAL,97,0,,2011-004310
