tracker,stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,speceis,q11a,id
41,36,02,1102,95,0,,7466,4,1,2014,10,18,1030135,0,0,2,NYOC1102.pdf,00081625.tif,ORIGINAL,LITTLE,4681,4170,1,0,0,8,0,0,0,,4,2014-417002
41,36,03,1102,96,0,,7466,4,1,2014,10,18,1030133,0,0,2,NYOC1102.pdf,00081627.tif,ORIGINAL,BLUEFI,230,4170,3,0,0,1,0,0,0,,4,2014-417003
41,36,03,1102,97,0,,7466,4,1,2014,10,18,1030133,0,0,2,NYOC1102.pdf,00081627.tif,ORIGINAL,STRIPE,4180,4170,2,0,0,3,0,0,0,,4,2014-417003
41,36,03,1102,98,0,,7466,4,1,2014,10,18,1030133,0,0,2,NYOC1102.pdf,00081627.tif,ORIGINAL,LITTLE,4681,4170,1,0,0,12,0,0,0,,4,2014-417003
41,36,04,1102,99,0,,7466,4,1,2014,10,18,1030133,0,0,2,NYOC1102.pdf,00081629.tif,ORIGINAL,BLUEFI,230,4170,3,0,0,12,0,0,0,,3,2014-417004
41,36,04,1102,100,0,,7466,4,1,2014,10,18,1030133,0,0,2,NYOC1102.pdf,00081629.tif,ORIGINAL,STRIPE,4180,4170,2,8,8,2,0,0,0,,3,2014-417004
41,36,04,1102,101,0,,7466,4,1,2014,10,18,1030133,0,0,2,NYOC1102.pdf,00081629.tif,ORIGINAL,LITTLE,4681,4170,1,0,0,3,0,0,0,,3,2014-417004
41,36,01,1107,102,0,,7466,4,1,2014,10,12,1030372,1,0,2,NYOC1107.pdf,00081489.tif,ORIGINAL,BLUEFI,230,4138,2,20,0,3,0,0,0,,2,2014-413801
41,36,01,1107,103,0,,7466,4,1,2014,10,12,1030372,1,0,2,NYOC1107.pdf,00081489.tif,ORIGINAL,STRIPE,4180,4138,3,0,0,1,0,0,0,,2,2014-413801
41,36,01,1107,104,0,,7466,4,1,2014,10,12,1030372,1,0,2,NYOC1107.pdf,00081489.tif,ORIGINAL,LITTLE,4681,4138,1,0,0,2,0,0,0,,2,2014-413801
41,36,02,1107,105,0,,7466,4,1,2014,10,12,1030372,1,0,2,NYOC1107.pdf,00081491.tif,ORIGINAL,BLUEFI,230,4138,3,0,0,7,0,0,0,,4,2014-413802
41,36,02,1107,106,0,,7466,4,1,2014,10,12,1030372,1,0,2,NYOC1107.pdf,00081491.tif,ORIGINAL,STRIPE,4180,4138,2,0,0,15,0,0,0,,4,2014-413802
41,36,02,1107,107,0,,7466,4,1,2014,10,12,1030372,1,0,2,NYOC1107.pdf,00081491.tif,ORIGINAL,LITTLE,4681,4138,1,0,0,15,0,0,0,,4,2014-413802
41,36,03,1107,108,0,,7466,4,1,2014,10,12,1030134,0,0,2,NYOC1107.pdf,00081493.tif,ORIGINAL,BLUE S,4931,4138,1,0,0,2,0,0,0,,3,2014-413803
41,36,04,1107,109,0,,7466,4,1,2014,10,12,1030372,0,0,2,NYOC1107.pdf,00081495.tif,ORIGINAL,BLUEFI,230,4138,3,0,0,3,0,0,0,,4,2014-413804
41,36,04,1107,110,0,,7466,4,1,2014,10,12,1030372,0,0,2,NYOC1107.pdf,00081495.tif,ORIGINAL,STRIPE,4180,4138,2,0,0,12,0,0,0,,4,2014-413804
41,36,04,1107,111,0,,7466,4,1,2014,10,12,1030372,0,0,2,NYOC1107.pdf,00081495.tif,ORIGINAL,LITTLE,4681,4138,1,0,0,10,0,0,0,,4,2014-413804
41,36,05,1107,112,0,,7466,4,1,2014,10,12,1030135,0,0,2,NYOC1107.pdf,00081497.tif,ORIGINAL,BLUEFI,230,4138,3,0,0,3,0,0,0,,4,2014-413805
41,36,05,1107,113,0,,7466,4,1,2014,10,12,1030135,0,0,2,NYOC1107.pdf,00081497.tif,ORIGINAL,STRIPE,4180,4138,2,0,0,4,0,0,0,,4,2014-413805
41,36,05,1107,114,0,,7466,4,1,2014,10,12,1030135,0,0,2,NYOC1107.pdf,00081497.tif,ORIGINAL,LITTLE,4681,4138,1,0,0,4,0,0,0,,4,2014-413805
41,36,01,1108,115,0,,7466,4,1,2014,10,13,1030372,0,0,2,NYOC1108.pdf,00081543.tif,ORIGINAL,BLUEFI,230,4139,3,0,0,3,0,0,0,,4,2014-413901
41,36,01,1108,116,0,,7466,4,1,2014,10,13,1030372,0,0,2,NYOC1108.pdf,00081543.tif,ORIGINAL,STRIPE,4180,4139,2,0,0,3,0,0,0,,4,2014-413901
41,36,01,1108,117,0,,7466,4,1,2014,10,13,1030372,0,0,2,NYOC1108.pdf,00081543.tif,ORIGINAL,LITTLE,4681,4139,1,0,0,5,0,0,0,,4,2014-413901
41,36,02,1108,118,0,,7466,4,1,2014,10,13,1030372,1,0,2,NYOC1108.pdf,00081545.tif,ORIGINAL,BLUEFI,230,4139,3,0,0,2,0,0,0,,4,2014-413902
