tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,month,day,intdate,tracker,batch,site_no,county,filestat,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
6,24,MD,6,01,6,6,WILMINGTON CANYON,6936,24,1630,1108,1493,5,1,1,2,2,1,1615,4711,9996,2,2,8,6,0,0,1,1,0,0,0,8,3824,7327,72,420,74,1,1,1,mdjn1108.tif,00035776.tif,2011,0,0,0,06,19,18797,016501,0165,0471493,047,ORIGINAL,7,187,0,,Y,1,2011-016501
6,37,NC,6,02,6,6,BALTIMORE CANYON,6936,24,1645,1108,1493,5,1,1,2,2,1,1615,4711,9996,2,2,10,10,0,1,1,1,0,0,0,6,3814,7350,62,480,72,2,1,1,mdjn1108.tif,00035778.tif,2011,0,0,0,06,19,18797,016502,0165,0471493,047,ORIGINAL,7,189,0,,Y,2,2011-016502
6,24,MD,6,03,6,6,POOR MANS CANYON,6936,24,1710,1108,1493,5,1,1,2,2,1,1650,4711,1050,2,2,7,6,0,1,1,1,0,0,0,4,3752,7406,55,700,71,2,1,1,mdjn1108.tif,00035780.tif,2011,0,0,0,06,19,18797,016503,0165,0471493,047,ORIGINAL,7,185,0,,Y,1,2011-016503
6,24,MD,6,04,6,6,BALTIMORE CANYON,6936,24,1820,1108,1493,5,1,1,2,2,1,1805,4656,9996,2,2,9,8,0,1,1,1,0,0,0,7,3806,7349,63,1000,75,2,1,2,mdjn1108.tif,00035782.tif,2011,0,0,0,06,19,18797,016504,0165,0471493,047,ORIGINAL,7,186,0,,Y,2,2011-016504
6,24,MD,6,05,6,6,BALTIMORE CANYON,6936,24,1825,1108,1493,5,1,1,2,2,2,1800,4656,9996,2,2,7,6,0,1,1,1,0,0,0,5,3814,7350,60,420,70,2,1,1,mdjn1108.tif,00035783.tif,2011,0,0,0,06,19,18797,016505,0165,0471493,047,ORIGINAL,7,188,0,,Y,2,2011-016505
6,24,MD,6,01,6,6,FINGERS,6936,24,1645,2103,0856,4,3,1,2,2,1,1635,3591,4656,2,12,4,9,0,1,1,1,1,0,0,4,3812,7437,25,120,98,2,1,2,mdjn2103.tif,00035787.tif,2011,0,0,0,06,16,18794,016601,0166,0470856,047,ORIGINAL,7,215,0,,Y,2,2011-016601
6,10,DE,6,02,6,6,BALTIMORE CANYON,6936,24,1730,2103,0856,4,3,1,2,2,2,1730,4711,2161,2,2,5,5,0,1,0,1,0,0,0,2,3806,7349,60,1700,74,2,1,1,mdjn2103.tif,00035788.tif,2011,0,0,0,06,16,18794,016602,0166,0470856,047,ORIGINAL,7,217,0,,Y,2,2011-016602
6,24,MD,6,03,6,6,BALTIMORE CANYON,6936,24,1745,2103,0856,4,3,1,2,2,1,1745,4711,9996,2,2,8,10,0,0,1,1,0,0,0,5,3814,7350,55,480,78,2,1,1,mdjn2103.tif,00035790.tif,2011,0,0,0,06,16,18794,016603,0166,0470856,047,ORIGINAL,7,213,0,,Y,2,2011-016603
6,24,MD,6,04,6,6,POOR MANS CANYON,6936,24,1755,2103,0856,4,3,1,2,2,1,1750,4711,9996,2,2,10,6,0,1,1,1,0,0,0,3,3752,7406,60,600,72,1,1,1,mdjn2103.tif,00035792.tif,2011,0,0,0,06,16,18794,016604,0166,0470856,047,ORIGINAL,7,214,0,,Y,2,2011-016604
T501,24,MD,OCEAN CITY SHARK TOURNAMENT,05,6,6,FINGERS,6936,24,1835,2103,0856,4,3,1,2,2,1,1830,3591,230,1,1,7,10,0,0,1,1,1,0,0,4,3812,7437,38,120,70,2,1,1,mdjn2103.tif,00035794.tif,2011,0,0,0,06,16,18794,016605,0166,0470856,047,ORIGINAL,7,795,0,,Y,2,2011-016605
