tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,tracker,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
T202,09,CT,MONTAUK MARINE BASIN SHARK TAG,02,6,6,HABBS LEDGE,7519,36,1455,1203,0037,5,1,1,2,2,1,1415,4931,3551,1,1,4,5,1,0,1,0,0,1,0,4,4049,7148,16,143,71,1,2,1,NYJN1203.pdf,00097091.tif,2016,0,1,0,ORIGINAL,06,25,20630,039502,0395,1030037,103,4,653,0,,Y,2,2016-039502
6,36,NY,6,03,6,6,SW OF POINT,7519,36,1500,1203,0037,5,1,2,1,3,1,1500,3551,3531,2,1,4,7,1,0,0,0,1,1,0,5,9998,9998,17,137,66,1,2,1,NYJN1203.pdf,00097093.tif,2016,0,0,0,ORIGINAL,06,25,20630,039503,0395,1030037,103,4,423,0,,Y,2,2016-039503
T202,09,CT,MONTAUK MARINE BASIN SHARK TAG,04,6,6,BUTTERFISH HOLE,7519,36,1515,1203,0037,5,1,1,2,2,6,1515,3551,3531,1,1,4,5,1,0,1,0,1,1,0,3,4050,7135,20,180,68,1,2,1,NYJN1203.pdf,00097095.tif,2016,0,1,0,ORIGINAL,06,25,20630,039504,0395,1030037,103,4,670,0,,N,2,2016-039504
T202,09,CT,MONTAUK MARINE BASIN SHARK TAG,05,6,6,OUTER BUTTERFISH,7519,36,1525,1203,0037,5,1,2,2,3,1,1525,3551,3531,1,1,4,7,1,0,1,0,1,1,0,4,4033,7136,25,99998,66,1,2,1,NYJN1203.pdf,00097097.tif,2016,0,0,0,ORIGINAL,06,25,20630,039505,0395,1030037,103,4,662,0,,Y,2,2016-039505
T202,09,CT,MONTAUK MARINE BASIN SHARK TAG,06,6,6,BUTTERFISH HOLE,7519,36,1545,1203,0037,5,1,1,2,2,1,1530,3551,3531,1,1,4,7,1,0,1,0,1,0,0,4,4050,7135,30,200,66,1,1,1,NYJN1203.pdf,00097099.tif,2016,0,0,0,ORIGINAL,06,25,20630,039506,0395,1030037,103,4,669,0,,N,2,2016-039506
T202,36,NY,MONTAUK MARINE BASIN SHARK TAG,07,6,6,SW OF POINT,7519,36,1605,1203,0037,5,1,2,1,3,1,1605,3551,3531,1,1,4,7,0,0,1,0,1,1,0,5,9998,9998,25,180,64,1,2,1,NYJN1203.pdf,00097101.tif,2016,0,0,0,ORIGINAL,06,25,20630,039507,0395,1030037,103,4,650,0,,Y,1,2016-039507
T202,44,RI,MONTAUK MARINE BASIN SHARK TAG,08,6,6,BEHIND BLOCK ISLAND,7519,36,1620,1203,0037,5,1,1,2,2,1,1620,3551,3531,1,1,2,7,1,0,0,0,1,0,0,4,9998,9998,32,180,65,1,1,1,NYJN1203.pdf,00097103.tif,2016,0,0,0,ORIGINAL,06,25,20630,039508,0395,1030037,103,4,663,0,,Y,1,2016-039508
T202,36,NY,MONTAUK MARINE BASIN SHARK TAG,09,6,6,SW OF POINT,7519,36,1630,1203,0037,5,1,2,1,3,1,1630,3551,3531,1,1,4,8,0,0,1,0,1,0,0,6,9998,9998,20,150,66,1,2,1,NYJN1203.pdf,00097105.tif,2016,0,0,0,ORIGINAL,06,25,20630,039509,0395,1030037,103,4,648,0,,N,1,2016-039509
T202,36,NY,MONTAUK MARINE BASIN SHARK TAG,10,6,6,SOUTH OF POINT,7519,36,1640,1203,0037,5,1,2,1,3,1,1625,3551,3531,1,1,4,6,0,0,1,0,1,1,0,6,9998,9998,24,190,64,1,2,1,NYJN1203.pdf,00097107.tif,2016,0,0,0,ORIGINAL,06,25,20630,039510,0395,1030037,103,4,655,0,,Y,2,2016-039510
T202,25,MA,MONTAUK MARINE BASIN SHARK TAG,11,6,6,WEST OF POINT,7519,36,1650,1203,0037,5,1,1,2,2,6,1640,3551,3531,1,1,4,7,0,0,1,0,1,1,0,3,9998,9998,25,117,62,1,1,1,NYJN1203.pdf,00097109.tif,2016,0,0,0,ORIGINAL,06,25,20630,039511,0395,1030037,103,4,652,0,,Y,2,2016-039511
T202,44,RI,MONTAUK MARINE BASIN SHARK TAG,12,6,6,COIMBRA WRECK,7519,36,1705,1203,0037,5,1,1,2,2,1,1645,3551,3531,1,1,4,7,1,0,1,0,1,1,0,4,4024,7222,43,185,66,1,1,1,NYJN1203.pdf,00097111.tif,2016,0,0,0,ORIGINAL,06,25,20630,039512,0395,1030037,103,4,665,0,,Y,2,2016-039512
T202,09,CT,MONTAUK MARINE BASIN SHARK TAG,13,6,6,JENNYS HORN,7519,36,1710,1203,0037,5,1,1,2,2,1,1655,3551,3531,1,1,4,8,1,0,1,0,1,0,0,5,4049,7133,18,170,64,1,1,2,NYJN1203.pdf,00097113.tif,2016,0,0,0,ORIGINAL,06,25,20630,039513,0395,1030037,103,4,660,0,,Y,2,2016-039513
T202,36,NY,MONTAUK MARINE BASIN SHARK TAG,14,6,6,SOUTH OF POINT,7519,36,1715,1203,0037,5,1,1,2,1,6,1655,3551,3531,1,1,3,6,0,0,1,0,1,0,0,4,9998,9998,21,148,64,2,2,1,NYJN1203.pdf,00097114.tif,2016,0,0,0,ORIGINAL,06,25,20630,039514,0395,1030037,103,4,668,0,,N,2,2016-039514
T202,09,CT,MONTAUK MARINE BASIN SHARK TAG,15,6,6,RYANS HORN,7519,36,1720,1203,0037,5,1,1,2,2,1,1700,3551,3531,1,1,5,7,1,0,1,0,1,1,0,5,4046,7127,25,215,72,1,2,1,NYJN1203.pdf,00097116.tif,2016,0,0,0,ORIGINAL,06,25,20630,039515,0395,1030037,103,4,667,0,,Y,2,2016-039515
T202,36,NY,MONTAUK MARINE BASIN SHARK TAG,16,6,6,BUTTERFISH HOLE,7519,36,1725,1203,0037,5,1,1,2,1,1,1710,3551,3531,1,1,4,7,1,0,1,0,1,1,0,3,4050,7138,70,237,64,1,1,1,NYJN1203.pdf,00097118.tif,2016,0,1,0,ORIGINAL,06,25,20630,039516,0395,1030037,103,4,654,0,,Y,2,2016-039516
