tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,filestat,batch,month,day,intdate,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
03,6,44,RI,6,0,6,6,STELLWAGEN BANK,7381,25,1610,1101,0217,8,1,1,2,2,2,1600,4677,4676,2,1,4,4,0,1,0,1,0,0,0,3,4216,7017,20,350,67,2,1,2,majl1101.tif,00048930.tif,2012,0,0,0,ORIGINAL,0376,07,01,19175,0230217,023,2,446,0,,Y,2,,2012-037601
03,6,25,MA,6,0,6,6,SELLWAGON BANK,7420,25,1625,1102,0024,15,1,1,2,1,2,1610,4671,9996,2,1,4,10,1,0,0,0,1,0,0,3,4225,7025,26,120,63,2,2,2,majl1102.tif,00048950.tif,2012,0,1,0,ORIGINAL,0377,07,01,19175,0090024,009,2,448,0,,N,2,,2012-037701
03,6,25,MA,6,0,6,ANCHORED LEDGE,JEFFREYS LEDGE,7420,25,1650,1102,0024,15,1,1,1,3,2,1640,4671,9996,2,1,3,10,1,0,0,0,0,0,1,6,4255,7010,25,250,67,1,2,2,majl1102.tif,00048951.tif,2012,0,0,0,ORIGINAL,0377,07,01,19175,0090024,009,2,447,0,,Y,2,,2012-037702
03,6,99,99,6,0,6,6,STELLWAGEN BANK,7405,25,1510,1110,0282,2,1,1,2,1,6,1500,4677,9996,2,2,4,6,0,1,0,1,0,0,0,2,4216,7017,5,150,98,2,1,2,majl1110.tif,00048954.tif,2012,0,1,0,REVISED,0378,07,01,19175,0010282,001,2,472,0,,N,2,,2012-037801
03,6,25,MA,6,0,D,6,FISHING LEDGE,7405,25,1535,1110,0273,2,1,1,2,2,1,1530,4677,9996,2,3,2,6,0,1,0,1,0,0,0,2,4156,7018,15,120,98,2,1,2,majl1110.tif,00048955.tif,2012,0,1,0,REVISED,0378,07,01,19175,0010273,001,2,471,0,,Y,2,,2012-037802
03,6,25,MA,6,0,6,6,CRAB LEDGE,6634,25,1526,1111,9028,11,1,1,2,2,7,1510,4671,4679,2,2,5,6,0,1,0,1,0,0,0,3,4138,6940,12,120,62,2,1,1,majl1111.tif,00048958.tif,2012,0,1,1,ORIGINAL,0379,07,01,19175,0019028,001,2,474,0,,Y,2,,2012-037901
03,6,25,MA,6,0,6,6,THE STAR,6634,25,1530,1111,9028,11,1,1,2,2,1,1430,4677,4678,2,2,6,5,0,1,0,1,0,0,0,4,9998,9998,20,150,65,2,1,1,majl1111.tif,00048960.tif,2012,0,1,0,ORIGINAL,0379,07,01,19175,0019028,001,2,473,0,,Y,2,,2012-037902
03,6,25,MA,6,0,6,6,E CHURUM,7381,25,1355,1116,0784,8,1,2,1,3,7,1350,4678,9996,2,2,4,6,0,1,0,1,0,0,0,2,9998,9998,10,350,98,2,1,2,majl1116.tif,00048972.tif,2012,0,1,1,ORIGINAL,0383,07,08,19182,0230784,023,2,475,0,,Y,2,,2012-038301
03,6,25,MA,6,0,6,LIVE LINEING,STELLWAGEN BANK,7381,25,1539,1116,0217,8,1,1,2,1,6,1530,4671,9996,2,2,3,8,1,0,0,0,0,0,1,5,4216,7017,12,200,69,2,1,2,majl1116.tif,00048973.tif,2012,0,1,0,ORIGINAL,0383,07,08,19182,0230217,023,2,477,0,,N,2,,2012-038302
03,6,44,RI,6,0,6,6,P TOWN,7381,25,1647,1116,0218,8,1,1,2,2,2,1640,4677,4676,2,2,4,8,0,1,0,1,0,0,0,2,4205,7008,5,120,98,2,1,2,majl1116.tif,00048974.tif,2012,0,0,0,ORIGINAL,0383,07,08,19182,0230218,023,2,476,0,,Y,2,,2012-038303
03,6,25,MA,6,0,6,6,S AASSET BEACH,7381,25,1447,1207,0784,8,1,1,2,1,1,1430,4671,9996,2,2,5,6,0,1,0,1,0,0,0,3,9998,9998,3,150,66,2,2,2,majl1207.tif,00048977.tif,2012,0,1,0,ORIGINAL,0385,07,07,19181,0230784,023,2,498,0,,Y,2,,2012-038501
03,6,25,MA,6,0,6,6,PEAKID HILL,7381,25,1500,1207,0218,8,1,2,1,3,1,1450,4677,4676,2,2,4,7,0,1,0,1,0,0,0,4,4205,7008,4,130,66,2,2,2,majl1207.tif,00048978.tif,2012,0,0,0,ORIGINAL,0385,07,07,19181,0230218,023,2,497,0,,Y,2,,2012-038502
03,6,25,MA,6,0,6,6,BACKSIDE CAPECOD,7381,25,1518,1207,0218,8,1,2,1,3,1,1510,4678,9996,2,2,5,7,0,1,0,1,0,0,0,1,9998,9998,7,300,98,2,2,2,majl1207.tif,00048979.tif,2012,0,1,0,ORIGINAL,0385,07,07,19181,0230218,023,2,496,0,,Y,2,,2012-038503
03,6,25,MA,6,0,6,6,BACKSIDE CAPE COD,7381,25,1652,1207,0218,8,1,2,1,3,1,1650,4676,9996,2,2,5,4,0,1,0,1,0,0,0,6,9998,9998,2,100,62,2,1,2,majl1207.tif,00048980.tif,2012,1,1,0,ORIGINAL,0385,07,07,19181,0230218,023,2,495,0,,N,2,,2012-038504
03,6,25,MA,6,0,6,6,EAST OF CHATHAM,7279,25,1515,2101,0393,5,1,1,2,2,1,1500,4678,4676,2,2,4,4,0,1,0,1,0,0,0,4,4140,6955,7,110,98,1,1,2,majl2101.tif,00048983.tif,2012,1,0,0,ORIGINAL,0386,07,02,19176,0010393,001,2,522,0,,Y,2,,2012-038601
03,6,25,MA,6,0,6,6,CRAB LEDGE,6591,25,1300,2102,0922,10,1,1,2,2,2,1300,4677,4678,2,2,3,6,0,1,0,1,0,0,0,2,4138,6940,5,250,64,2,1,2,majl2102.tif,00048987.tif,2012,0,0,0,ORIGINAL,0387,07,05,19179,0010922,001,2,525,0,,Y,2,,2012-038701
03,6,25,MA,6,0,6,6,EAST OF CHATHAM,6591,25,1315,2102,0922,10,1,1,2,1,2,1230,4671,9996,2,2,4,4,0,1,0,1,0,0,0,3,4140,6955,8,180,66,2,1,2,majl2102.tif,00048988.tif,2012,0,0,0,ORIGINAL,0387,07,05,19179,0010922,001,2,527,0,,Y,2,,2012-038702
03,6,25,MA,6,0,6,6,OFF COAST GUARD,6591,25,1330,2102,0922,10,1,1,2,1,2,1330,4671,9996,2,2,4,5,0,1,0,1,0,0,0,2,9998,9998,5,110,64,2,1,1,majl2102.tif,00048989.tif,2012,0,0,0,ORIGINAL,0387,07,05,19179,0010922,001,2,523,0,,Y,2,,2012-038703
03,6,25,MA,6,0,6,6,CRAB LEDGE,6591,25,1400,2102,0922,10,1,1,2,2,2,1400,4677,4678,2,2,4,6,0,1,0,1,0,0,0,3,4138,6940,8,200,98,2,1,2,majl2102.tif,00048991.tif,2012,0,0,0,ORIGINAL,0387,07,05,19179,0010922,001,2,526,0,,Y,2,,2012-038704
03,6,25,MA,6,0,6,6,CRAB LEDGE,6591,25,1430,2102,0922,10,1,2,1,3,2,1415,4677,4678,2,2,3,7,0,1,0,1,0,0,0,2,4138,6940,8,275,61,2,1,1,majl2102.tif,00048992.tif,2012,0,0,0,ORIGINAL,0387,07,05,19179,0010922,001,2,524,0,,Y,2,,2012-038705
03,6,25,MA,6,0,6,6,STELLWAGEN BANK,7435,25,1720,2117,0024,15,1,2,1,3,7,1715,4671,9996,2,1,4,6,0,1,0,1,0,0,0,2,4225,7025,15,110,65,2,2,2,majl2117.tif,00049004.tif,2012,0,1,0,ORIGINAL,0391,07,03,19177,0090024,009,2,544,0,,Y,2,,2012-039101
03,6,25,MA,6,0,6,6,STELLWAGEN BANK,7435,25,1730,2117,0024,15,1,1,2,1,1,1725,4671,9996,2,2,4,6,0,1,0,1,0,0,0,3,4225,7025,15,140,98,2,1,2,majl2117.tif,00049005.tif,2012,0,1,0,REVISED,0391,07,03,19177,0090024,009,2,543,0,,Y,2,,2012-039102
03,6,25,MA,6,0,6,6,STELLWAGEN BANK,7420,25,1530,2121,0803,15,3,1,2,3,1,1520,4671,9996,2,1,4,8,1,0,1,0,0,1,0,2,4216,7017,26,145,66,2,2,2,majl2121.tif,00049012.tif,2012,0,0,0,ORIGINAL,0394,07,06,19180,0090803,009,2,546,0,,Y,2,,2012-039401
03,6,25,MA,6,0,6,6,IPSWITCH BAY,7420,25,1800,2121,0024,15,1,2,1,3,1,1740,4671,9996,2,1,4,11,1,1,1,0,1,0,0,6,4240,7040,3,200,65,2,2,1,majl2121.tif,00049013.tif,2012,0,0,0,ORIGINAL,0394,07,06,19180,0090024,009,2,545,0,,Y,2,,2012-039402
03,6,25,MA,6,0,6,6,EAST OF CHATAM,7279,25,1320,2122,9036,21,1,1,2,2,1,1255,4678,9996,2,2,5,3,0,1,0,1,0,0,0,5,4140,6955,7,150,65,1,1,1,majl2122.tif,00049017.tif,2012,0,0,0,ORIGINAL,0395,07,06,19180,0019036,001,2,547,0,,Y,2,,2012-039501
03,6,25,MA,6,0,6,DRIFTING,STELLWAGEN BANK SW,7424,25,1430,2201,0784,8,1,1,2,1,2,1420,4671,9996,2,2,4,10,1,0,0,0,0,0,1,3,4210,7015,4,80,68,2,2,2,majl2201.tif,00049031.tif,2012,0,0,0,ORIGINAL,0396,07,02,19176,0230784,023,2,577,0,,Y,2,,2012-039601
03,6,25,MA,6,0,6,DRIFTING,PEAKED HILL,7424,25,1610,2201,0218,8,1,2,2,3,7,1610,4671,9996,2,1,3,6,1,0,0,0,0,0,1,3,4205,7008,5,120,69,2,1,2,majl2201.tif,00049032.tif,2012,0,1,0,ORIGINAL,0396,07,02,19176,0230218,023,2,576,0,,Y,2,,2012-039602
