tracker,upprbill,lowerjaw,length,gender,curve,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,species,batch,prep,recno,s_index,serrflag,sprobfld,id
17,9996,9996,1142,6,1160,6447,2,1,2012,10,06,0051599,0,0,10,03,1103,1,deoc1103.tif,00057850.tif,4711,1785,0,2,98,0,,2012-178503
18,9996,9996,1142,6,1170,7422,5,1,2012,10,05,1030037,0,0,36,04,2207,1,nyoc2207.tif,00058143.tif,4711,1835,0,2,114,0,,2012-183504
17,9996,9996,1147,6,1169,6794,3,1,2012,10,05,0470853,0,0,24,01,2101,1,mdoc2101.tif,00057969.tif,4711,1797,0,3,100,0,,2012-179701
17,9996,9996,1149,6,1162,6936,5,1,2012,10,06,0471493,0,0,24,02,1101,1,mdoc1101.tif,00057887.tif,4711,1791,0,3,103,0,,2012-179102
19,9996,9996,1157,6,1180,6416,6,1,2012,10,06,0259125,0,0,34,03,1101,1,njoc1101.tif,00058473.tif,4711,1919,0,3,107,0,,2012-191903
18,9996,9996,1176,6,1192,7437,5,1,2012,10,06,1030037,0,0,36,02,1204,1,nyoc1204.tif,00058182.tif,4711,1808,0,6,122,0,,2012-180802
18,9996,9996,1176,6,1192,7437,5,1,2012,10,06,1030037,0,0,36,02,1204,1,nyoc1204.tif,00058183.tif,4711,1808,0,11,127,0,,2012-180802
18,9996,9996,1184,6,1196,7437,5,1,2012,10,06,1030037,0,0,36,02,1204,1,nyoc1204.tif,00058183.tif,4711,1808,0,14,130,0,,2012-180802
18,9996,9996,1186,6,1203,7437,5,1,2012,10,06,1030037,0,0,36,02,1204,1,nyoc1204.tif,00058183.tif,4711,1808,0,13,129,0,,2012-180802
18,9996,9996,1192,6,1214,7437,5,1,2012,10,06,1030037,0,0,36,05,1204,1,nyoc1204.tif,00058189.tif,4711,1808,0,1,134,0,,2012-180805
17,9996,9996,1196,6,1213,6447,2,1,2012,10,06,0051599,0,0,10,03,1103,1,deoc1103.tif,00057850.tif,4711,1785,0,1,97,0,,2012-178503
17,9996,9996,1198,6,1218,6794,3,1,2012,10,05,0470853,0,0,24,01,2101,1,mdoc2101.tif,00057969.tif,4711,1797,0,4,101,0,,2012-179701
18,9996,9996,1198,6,1212,7437,5,1,2012,10,06,1030037,0,0,36,02,1204,1,nyoc1204.tif,00058183.tif,4711,1808,0,12,128,0,,2012-180802
18,9996,9996,1200,6,1212,7437,5,1,2012,10,06,1030037,0,0,36,01,1204,1,nyoc1204.tif,00058180.tif,4711,1808,0,4,118,0,,2012-180801
20,9996,9996,1200,6,1240,7453,3,1,2012,10,24,1030589,0,0,36,04,2209,1,nyoc2209.tif,00059025.tif,4711,2042,0,3,139,0,,2012-204204
18,9996,9996,1225,6,1243,7437,5,1,2012,10,06,1030037,0,0,36,02,1204,1,nyoc1204.tif,00058182.tif,4711,1808,0,7,123,0,,2012-180802
18,9996,9996,1234,6,1259,7437,5,1,2012,10,06,1030037,0,0,36,06,1204,1,nyoc1204.tif,00058191.tif,4711,1808,0,1,135,0,,2012-180806
18,9996,9996,1235,6,1281,7437,5,1,2012,10,06,1030037,0,1,36,01,1204,1,nyoc1204.tif,00058180.tif,4711,1808,0,3,117,0,,2012-180801
18,9996,9996,1235,6,1245,7437,5,1,2012,10,06,1030037,0,0,36,02,1204,1,nyoc1204.tif,00058182.tif,4711,1808,0,8,124,0,,2012-180802
18,9996,9996,1236,6,1262,7437,5,1,2012,10,06,1030037,0,0,36,04,1204,1,nyoc1204.tif,00058187.tif,4711,1808,0,2,133,0,,2012-180804
18,9996,9996,1244,6,1258,7437,5,1,2012,10,06,1030037,0,0,36,02,1204,1,nyoc1204.tif,00058182.tif,4711,1808,0,3,119,0,,2012-180802
18,9996,9996,1248,6,1254,7437,5,1,2012,10,06,1030037,0,0,36,02,1204,1,nyoc1204.tif,00058182.tif,4711,1808,0,5,121,0,,2012-180802
18,9996,9996,1252,6,1267,7437,5,1,2012,10,06,1030037,0,0,36,02,1204,1,nyoc1204.tif,00058182.tif,4711,1808,0,9,125,0,,2012-180802
18,9996,9996,1262,6,1288,7437,5,1,2012,10,06,1030037,0,0,36,01,1204,1,nyoc1204.tif,00058180.tif,4711,1808,0,1,115,0,,2012-180801
18,9996,9996,1271,6,1289,7437,5,1,2012,10,06,1030037,0,0,36,02,1204,1,nyoc1204.tif,00058182.tif,4711,1808,0,10,126,1,LENGTH;,2012-180802
18,9996,9996,1394,6,1414,7437,5,1,2012,10,06,1030037,0,1,36,03,1204,1,nyoc1204.tif,00058185.tif,4711,1808,0,1,131,1,LENGTH;,2012-180803
20,9996,9996,1135,6,9996,6633,1,1,2012,10,25,8100002,0,0,51,02,2115,1,vaoc2115.tif,00058958.tif,4720,2046,0,1,170,0,,2012-204602
19,9996,9996,1162,6,9996,7415,3,1,2012,10,17,8100088,0,1,51,01,2214,1,vaoc2214.tif,00058580.tif,4720,1943,0,1,181,0,,2012-194301
19,9996,9996,1196,6,9996,7415,1,1,2012,10,14,8100091,0,0,51,01,1103,1,vaoc1103.tif,00058408.tif,4720,1901,0,2,173,0,,2012-190101
19,9996,9996,1197,6,9996,6936,5,1,2012,10,20,0471493,1,0,24,02,1201,1,mdoc1201.tif,00058645.tif,4720,1965,0,7,150,0,,2012-196502
19,9996,9996,1218,6,9996,7415,1,1,2012,10,14,8100091,0,0,51,01,1103,1,vaoc1103.tif,00058408.tif,4720,1901,0,6,177,0,,2012-190101
20,9996,9996,1221,6,9996,6633,1,1,2012,10,23,8100091,0,0,51,01,2217,1,vaoc2217.tif,00058833.tif,4720,2015,0,2,168,0,,2012-201501
