tracker,stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,q23,year,month,day,site_no,enterr,interr,measur,faxno,tifno,filestat,alive,othlp,species,batch,row,kept,observe,dead,sell,weighed,q11a,id
041005,10,05,1101,52,0,,7681,2,1,5,2019,07,07,0051599,0,0,2,DEJL1101.pdf,00134817.tif,ORIGINAL,0,DOLPHIN,1050,0410,2,2,2,0,0,0,2,2019-041005
041005,10,05,1101,53,0,,7681,2,1,5,2019,07,07,0051599,0,0,2,DEJL1101.pdf,00134817.tif,ORIGINAL,0,YFT,4711,0410,1,1,1,0,0,0,2,2019-041005
041006,10,06,1101,54,0,,7681,2,1,8,2019,07,07,0051599,0,0,2,DEJL1101.pdf,00134819.tif,ORIGINAL,0,DOLPHIN,1050,0410,2,1,1,0,0,0,2,2019-041006
041006,10,06,1101,55,0,,7681,2,1,8,2019,07,07,0051599,0,0,2,DEJL1101.pdf,00134819.tif,ORIGINAL,0,YFT,4711,0410,1,5,5,0,0,0,2,2019-041006
063202,10,02,1102,56,0,,6447,2,1,8,2019,07,20,0051599,0,0,2,DEJL1102.pdf,00136204.tif,ORIGINAL,0,DOLPHIN,1050,0632,1,12,0,0,0,0,3,2019-063202
063202,10,02,1102,57,1,ALIVE;,6447,2,1,8,2019,07,20,0051599,0,0,2,DEJL1102.pdf,00136204.tif,ORIGINAL,5,BLUELINE TILEFISH,4440,0632,2,20,0,0,0,0,3,2019-063202
063202,10,02,1102,58,0,,6447,2,1,8,2019,07,20,0051599,0,0,2,DEJL1102.pdf,00136204.tif,ORIGINAL,0,GOLDEN TILEFISH,4467,0632,3,20,0,0,0,0,3,2019-063202
063203,10,03,1102,59,0,,6447,2,1,5,2019,07,20,0051599,0,0,2,DEJL1102.pdf,00136206.tif,ORIGINAL,0,DOLPHIN,1050,0632,1,1,0,0,0,0,2,2019-063203
080701,10,01,1103,60,0,,7681,2,1,3,2019,07,27,0051599,0,0,2,DEJL1103.pdf,00137266.tif,ORIGINAL,0,DOLPHIN,1050,0807,1,5,5,0,0,0,2,2019-080701
080702,10,02,1103,61,0,,7681,2,1,6,2019,07,27,0051599,0,0,1,DEJL1103.pdf,00137268.tif,ORIGINAL,0,DOLPHIN,1050,0807,1,5,5,0,0,0,3,2019-080702
080702,10,02,1103,62,0,,7681,2,1,6,2019,07,27,0051599,0,0,1,DEJL1103.pdf,00137268.tif,ORIGINAL,0,TILEFISH,4470,0807,2,40,40,0,0,0,3,2019-080702
080703,10,03,1103,63,0,,7681,2,1,4,2019,07,27,0051599,0,0,2,DEJL1103.pdf,00137270.tif,ORIGINAL,0,DOLPHIN,1050,0807,2,2,2,0,0,0,2,2019-080703
080703,10,03,1103,64,0,,7681,2,1,4,2019,07,27,0051599,0,0,2,DEJL1103.pdf,00137270.tif,ORIGINAL,2,WHITE MARLIN,2161,0807,1,0,0,0,0,0,2,2019-080703
080704,10,04,1103,65,0,,7681,2,1,4,2019,07,27,0051599,0,0,2,DEJL1103.pdf,00137272.tif,ORIGINAL,0,DOLPHIN,1050,0807,1,2,2,0,0,0,2,2019-080704
080704,10,04,1103,66,0,,7681,2,1,4,2019,07,27,0051599,0,0,2,DEJL1103.pdf,00137272.tif,ORIGINAL,0,KING MACKEREL,1940,0807,2,2,2,0,0,0,2,2019-080704
063401,10,01,1201,67,0,,6783,2,1,4,2019,07,21,0051599,0,0,2,DEJL1201.pdf,00136216.tif,ORIGINAL,1,DOLPHIN,1050,0634,1,4,4,0,0,0,3,2019-063401
063402,10,02,1201,68,0,,6783,2,1,4,2019,07,21,0051599,0,0,1,DEJL1201.pdf,00136218.tif,ORIGINAL,0,DOLPHIN,1050,0634,1,13,13,0,0,0,2,2019-063402
063501,10,01,1204,69,0,,6783,1,1,4,2019,07,20,0050013,0,0,1,DEJL1204.pdf,00136222.tif,ORIGINAL,0,ATLANTIC BONITO,330,0635,2,2,2,0,0,0,3,2019-063501
063501,10,01,1204,70,0,,6783,1,1,4,2019,07,20,0050013,0,0,1,DEJL1204.pdf,00136222.tif,ORIGINAL,0,BFT SCHOOL,4677,0635,1,3,3,0,0,0,3,2019-063501
076801,10,01,1205,71,0,,6447,2,1,3,2019,07,28,0051599,0,0,2,DEJL1205.pdf,00136944.tif,ORIGINAL,0,DOLPHIN,1050,0768,2,1,0,0,0,0,1,2019-076801
076801,10,01,1205,72,0,,6447,2,1,3,2019,07,28,0051599,0,0,2,DEJL1205.pdf,00136944.tif,ORIGINAL,4,YFT,4711,0768,1,2,0,0,0,1,1,2019-076801
076802,10,02,1205,73,0,,6447,2,1,4,2019,07,28,0051599,0,0,2,DEJL1205.pdf,00136946.tif,ORIGINAL,0,DOLPHIN,1050,0768,1,13,0,0,0,0,2,2019-076802
076803,10,03,1205,74,0,,6447,2,1,7,2019,07,28,0051599,0,0,2,DEJL1205.pdf,00136948.tif,ORIGINAL,1,WHITE MARLIN,2161,0768,1,0,0,0,0,0,2,2019-076803
076804,10,04,1205,75,0,,6447,2,1,6,2019,07,28,0051599,0,0,2,DEJL1205.pdf,00136950.tif,ORIGINAL,0,DOLPHIN,1050,0768,1,5,0,0,0,0,3,2019-076804
076804,10,04,1205,76,0,,6447,2,1,6,2019,07,28,0051599,0,0,2,DEJL1205.pdf,00136950.tif,ORIGINAL,0,BLUELINE TILEFISH,4440,0768,2,40,0,0,0,0,3,2019-076804
076805,10,05,1205,77,0,,6447,2,1,6,2019,07,28,0051599,0,0,2,DEJL1205.pdf,00136952.tif,ORIGINAL,2,WHITE MARLIN,2161,0768,2,0,0,0,0,0,2,2019-076805
076805,10,05,1205,78,0,,6447,2,1,6,2019,07,28,0051599,0,0,2,DEJL1205.pdf,00136952.tif,ORIGINAL,0,YFT,4711,0768,1,2,0,0,0,0,2,2019-076805
076806,10,06,1205,79,0,,6447,2,1,6,2019,07,28,0051599,0,0,2,DEJL1205.pdf,00136954.tif,ORIGINAL,0,DOLPHIN,1050,0768,2,2,0,0,0,0,2,2019-076806
076806,10,06,1205,80,1,ALIVE;,6447,2,1,6,2019,07,28,0051599,0,0,2,DEJL1205.pdf,00136954.tif,ORIGINAL,14,WHITE MARLIN,2161,0768,1,0,0,0,0,0,2,2019-076806
076808,10,08,1205,81,0,,6447,2,1,3,2019,07,28,0051599,0,0,2,DEJL1205.pdf,00136957.tif,ORIGINAL,2,WHITE MARLIN,2161,0768,1,0,0,0,0,0,2,2019-076808
055602,10,02,2102,82,0,,7681,2,1,6,2019,07,15,0051599,0,0,1,DEJL2102.pdf,00135730.tif,ORIGINAL,0,DOLPHIN,1050,0556,1,4,4,0,0,0,3,2019-055602
055602,10,02,2102,83,0,,7681,2,1,6,2019,07,15,0051599,0,0,1,DEJL2102.pdf,00135730.tif,ORIGINAL,0,GOLDEN TILEFISH,4467,0556,2,2,2,0,0,0,3,2019-055602
055602,10,02,2102,84,0,,7681,2,1,6,2019,07,15,0051599,0,0,1,DEJL2102.pdf,00135730.tif,ORIGINAL,0,TILEFISH,4470,0556,3,20,20,0,0,0,3,2019-055602
055603,10,03,2102,85,0,,7681,2,1,5,2019,07,15,0051599,0,0,2,DEJL2102.pdf,00135732.tif,ORIGINAL,0,DOLPHIN,1050,0556,1,9,9,0,0,0,3,2019-055603
055603,10,03,2102,86,0,,7681,2,1,5,2019,07,15,0051599,0,0,2,DEJL2102.pdf,00135732.tif,ORIGINAL,0,TILEFISH,4470,0556,3,3,3,0,0,0,3,2019-055603
055603,10,03,2102,87,0,,7681,2,1,5,2019,07,15,0051599,0,0,2,DEJL2102.pdf,00135732.tif,ORIGINAL,0,SKIPJACK TUNA,4661,0556,2,1,1,0,0,0,3,2019-055603
039301,10,01,2105,88,0,,7681,2,1,6,2019,07,03,0051599,0,0,2,DEJL2105.pdf,00134718.tif,ORIGINAL,0,BFT SCHOOL,4677,0393,1,1,1,0,0,0,3,2019-039301
039301,10,01,2105,89,0,,7681,2,1,6,2019,07,03,0051599,0,0,2,DEJL2105.pdf,00134718.tif,ORIGINAL,0,BFT LARGE SCHOOL,4678,0393,2,1,1,0,0,0,3,2019-039301
039302,10,02,2105,90,0,,7681,2,1,4,2019,07,03,0051599,0,0,1,DEJL2105.pdf,00134720.tif,ORIGINAL,0,DOLPHIN,1050,0393,1,2,2,0,0,0,2,2019-039302
039303,10,03,2105,91,0,,7681,2,1,3,2019,07,03,0051599,0,0,1,DEJL2105.pdf,00134722.tif,ORIGINAL,0,COMMON THRESHER SHARK,3531,0393,1,1,1,0,0,0,2,2019-039303
039304,10,04,2105,92,0,,7681,2,1,3,2019,07,03,0051599,0,0,2,DEJL2105.pdf,00134724.tif,ORIGINAL,0,DOLPHIN,1050,0393,1,4,4,0,0,0,2,2019-039304
053201,10,01,2106,93,0,,7681,2,1,6,2019,07,12,0051599,0,0,1,DEJL2106.pdf,00135523.tif,ORIGINAL,0,DOLPHIN,1050,0532,2,1,1,0,0,0,3,2019-053201
053201,10,01,2106,94,0,,7681,2,1,6,2019,07,12,0051599,0,0,1,DEJL2106.pdf,00135523.tif,ORIGINAL,0,KING MACKEREL,1940,0532,3,3,3,0,0,0,3,2019-053201
053201,10,01,2106,95,0,,7681,2,1,6,2019,07,12,0051599,0,0,1,DEJL2106.pdf,00135523.tif,ORIGINAL,0,BFT SCHOOL,4677,0532,1,1,1,0,0,0,3,2019-053201
053202,10,02,2106,96,0,,7681,2,1,7,2019,07,12,0051599,0,0,2,DEJL2106.pdf,00135525.tif,ORIGINAL,2,SKIPJACK TUNA,4661,0532,1,0,0,0,0,0,2,2019-053202
084801,10,01,2110,97,0,,6783,2,1,5,2019,07,29,0051599,0,0,1,DEJL2110.pdf,00137620.tif,ORIGINAL,0,DOLPHIN,1050,0848,1,2,2,0,0,0,2,2019-084801
050801,10,01,2201,98,0,,6783,2,1,6,2019,07,11,0051599,0,0,1,DEJL2201.pdf,00135319.tif,ORIGINAL,0,BLUEFISH,230,0508,4,1,1,0,0,0,3,2019-050801
050801,10,01,2201,99,0,,6783,2,1,6,2019,07,11,0051599,0,0,1,DEJL2201.pdf,00135319.tif,ORIGINAL,0,DOLPHIN,1050,0508,1,3,1,0,0,0,3,2019-050801
050801,10,01,2201,100,0,,6783,2,1,6,2019,07,11,0051599,0,0,1,DEJL2201.pdf,00135319.tif,ORIGINAL,0,BFT SMALL MEDIUM,4676,0508,2,1,1,0,0,0,3,2019-050801
050801,10,01,2201,101,0,,6783,2,1,6,2019,07,11,0051599,0,0,1,DEJL2201.pdf,00135319.tif,ORIGINAL,5,LITTLE TUNNY,4681,0508,3,0,0,0,0,0,3,2019-050801
050802,10,02,2201,102,0,,6783,2,1,4,2019,07,11,0051599,0,0,2,DEJL2201.pdf,00135321.tif,ORIGINAL,0,DOLPHIN,1050,0508,2,1,1,0,0,0,2,2019-050802
