faxno,batch,ppstfips,tcode,location,stcode,returnt,siteno,intcode,hook,inttime,tifno,intdate,cluster,control,sitetype,prim_op,todayt,category,perm_ver,ppstate,prim1,prim2,tourn,tourn_name,hook_oth,lines,fhours,fm_other_oth,party,latddmm,londdmm,miles,depth,sst,proxy,catch,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,contact,filestat,docno,month,day,tracker,year,enterr,interr,permismt,county,site_no,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
MDJN2205.pdf,2818,24,6,POOR MANS CANYON,24,1730,1493,6936,2,1810,00159969.tif,06/02/2021,5,2205,1,2,1,3,1,MD,4677,4678,2,6,6,12,8,6,5,3752,7406,60,600,63,1,1,0,1,1,1,0,0,0,0,1,ORIGINAL,05,06,02,281805,2021,0,0,0,047,0471493,6,367,0,,Y,1,2021-281805
NJJN2218.pdf,2826,34,6,MASSEYS CANYON,34,1430,0386,7895,3,1547,00159994.tif,06/02/2021,11,2218,1,2,1,3,1,NJ,4677,9996,2,6,LURES,7,8,6,3,3825,7420,50,150,57,2,1,0,0,1,1,0,0,0,0,1,ORIGINAL,01,06,02,282601,2021,1,1,0,009,0090386,5,480,1,Q27;,Y,2,2021-282601
NJJN2218.pdf,2826,34,6,BALTIMORE CANYON,34,1620,1131,7895,2,1630,00159996.tif,06/02/2021,11,2218,1,1,2,2,1,NJ,4677,9996,2,6,6,12,10,6,10,3806,7349,73,1200,63,2,1,0,1,1,1,0,0,0,0,1,ORIGINAL,02,06,02,282602,2021,0,0,0,009,0091131,5,479,1,Q23;,Y,1,2021-282602
NYJN2108.pdf,2827,36,6,EAST ATLANTIS CANYON,36,1715,0175,7727,2,1730,00160001.tif,06/02/2021,3,2108,1,1,2,3,1,NY,4670,9996,2,6,6,8,20,6,3,3947,7013,997,1200,70,2,1,0,1,1,1,0,0,0,0,1,ORIGINAL,01,06,02,282701,2021,0,1,0,103,1030175,4,511,0,,Y,2,2021-282701
VAJN2109.pdf,2829,51,6,NORFOLK CANYON,51,1711,0088,7872,2,1715,00160007.tif,06/02/2021,3,2109,1,2,1,3,6,VA,4677,4711,2,6,6,10,6,6,8,3705,7435,60,2000,68,1,1,0,1,0,1,0,0,0,0,1,ORIGINAL,01,06,02,282901,2021,0,1,0,810,8100088,7,574,0,,Y,1,2021-282901
VAJN2109.pdf,2829,37,6,NORFOLK CANYON,51,1735,0088,7872,2,1742,00160009.tif,06/02/2021,3,2109,1,2,1,3,1,NC,4677,9996,2,6,6,10,7,6,8,3705,7435,60,3000,64,1,1,0,1,0,1,0,0,0,0,1,ORIGINAL,02,06,02,282902,2021,0,1,0,810,8100088,7,575,0,,Y,1,2021-282902
VAJN2109.pdf,2829,51,6,NORFOLK CANYON,51,1730,0088,7872,12,1752,00160011.tif,06/02/2021,3,2109,1,1,2,2,2,VA,4677,9996,2,6,6,8,4,6,5,3705,7435,60,4000,63,1,1,1,1,1,1,0,0,0,0,1,ORIGINAL,03,06,02,282903,2021,0,1,0,810,8100088,7,576,0,,Y,2,2021-282903
VAJN2201.pdf,2830,51,6,NORFOLK CANYON,51,1730,0002,7919,2,1759,00160015.tif,06/01/2021,1,2201,1,2,1,3,2,VA,4677,9996,2,6,6,12,6,6,6,3705,7435,70,3000,63,2,1,0,1,1,1,0,0,0,0,2,ORIGINAL,01,06,01,283001,2021,0,1,0,810,8100002,7,594,0,,Y,1,2021-283001
VAJN2206.pdf,2831,51,6,NORFOLK CANYON,51,1630,0088,7920,2,1700,00160019.tif,06/01/2021,3,2206,1,2,1,3,7,VA,4656,9996,2,6,6,10,7,6,6,3705,7435,65,1200,67,1,1,0,1,0,1,0,0,0,0,1,ORIGINAL,01,06,01,283101,2021,0,1,0,810,8100088,7,604,0,,Y,2,2021-283101
VAJN2206.pdf,2831,51,6,NORFOLK CANYON,51,1700,0088,7920,2,1720,00160021.tif,06/01/2021,3,2206,1,2,1,3,7,VA,4656,9996,2,6,6,9,6,6,6,3705,7435,60,3000,64,1,1,0,1,0,1,0,0,0,0,1,ORIGINAL,02,06,01,283102,2021,0,1,0,810,8100088,7,603,0,,Y,2,2021-283102
VAJN2206.pdf,2831,51,6,750 LINE,51,1830,1832,7920,2,1900,00160023.tif,06/01/2021,3,2206,1,1,2,2,1,VA,4711,4691,2,6,6,10,8,6,6,9998,9998,997,99997,65,1,1,0,1,0,1,0,0,0,0,1,REVISED,03,06,01,283103,2021,0,1,0,810,8101832,7,605,0,,Y,2,2021-283103
VAJN2207.pdf,2832,51,6,VA NC LINE,51,1630,0002,7923,2,1653,00160027.tif,06/02/2021,1,2207,1,1,2,2,1,VA,4656,1050,2,6,6,8,6,6,6,9998,9998,40,2000,76,2,1,0,1,0,1,0,0,0,0,1,ORIGINAL,01,06,02,283201,2021,0,0,0,810,8100002,7,609,0,,Y,1,2021-283201
