stcode,control,docno,c_index,cerrflag,cprobfld,faxno,batch,intcode,tifno,cluster,sitetype,q11a,q23,filestat,month,day,tracker,year,enterr,interr,site_no,othlp,species,row,kept,observe,alive,dead,sell,weighed,measur,id
51,2109,03,778,0,,VAJN2109.pdf,2829,7872,00160012.tif,3,1,2,5,ORIGINAL,06,02,282903,2021,0,0,8100088,BFT SCHOOL,4677,1,1,1,0,0,0,0,2,2021-282903
51,2109,03,777,0,,VAJN2109.pdf,2829,7872,00160012.tif,3,1,2,5,ORIGINAL,06,02,282903,2021,0,0,8100088,GOLDEN TILEFISH,4467,2,7,7,0,0,0,0,2,2021-282903
51,2201,01,813,0,,VAJN2201.pdf,2830,7919,00160016.tif,1,1,3,6,ORIGINAL,06,01,283001,2021,0,1,8100002,BFT LARGE SCHOOL,4678,1,1,1,0,0,0,0,1,2021-283001
51,2201,01,814,0,,VAJN2201.pdf,2830,7919,00160016.tif,1,1,3,6,ORIGINAL,06,01,283001,2021,0,1,8100002,YFT,4711,2,4,4,0,0,0,0,1,2021-283001
51,2201,01,812,0,,VAJN2201.pdf,2830,7919,00160016.tif,1,1,3,6,ORIGINAL,06,01,283001,2021,0,1,8100002,BFT SCHOOL,4677,3,2,2,0,0,0,0,1,2021-283001
51,2206,01,830,1,KEPT;,VAJN2206.pdf,2831,7920,00160020.tif,3,1,3,6,ORIGINAL,06,01,283101,2021,0,0,8100088,BFT SCHOOL,4677,1,5,5,3,0,0,0,2,2021-283101
51,2206,01,831,1,KEPT;,VAJN2206.pdf,2831,7920,00160020.tif,3,1,3,6,ORIGINAL,06,01,283101,2021,0,0,8100088,BIGEYE TUNA,4691,2,1,1,0,0,0,0,2,2021-283101
51,2206,01,829,1,KEPT;,VAJN2206.pdf,2831,7920,00160020.tif,3,1,3,6,ORIGINAL,06,01,283101,2021,0,0,8100088,SHORTFIN MAKO SHARK,3551,3,0,0,1,0,0,0,2,2021-283101
51,2206,02,832,0,,VAJN2206.pdf,2831,7920,00160022.tif,3,1,3,6,ORIGINAL,06,01,283102,2021,0,1,8100088,BFT SCHOOL,4677,1,3,3,0,0,0,0,2,2021-283102
51,2206,03,833,0,,VAJN2206.pdf,2831,7920,00160024.tif,3,1,2,6,ORIGINAL,06,01,283103,2021,0,0,8101832,DOLPHIN,1050,1,2,2,0,0,0,0,2,2021-283103
51,2206,03,835,0,,VAJN2206.pdf,2831,7920,00160024.tif,3,1,2,6,ORIGINAL,06,01,283103,2021,0,0,8101832,BLUE MARLIN,2171,2,0,0,1,0,0,0,2,2021-283103
51,2206,03,834,0,,VAJN2206.pdf,2831,7920,00160024.tif,3,1,2,6,ORIGINAL,06,01,283103,2021,0,0,8101832,WHITE MARLIN,2161,3,0,0,1,0,0,0,2,2021-283103
51,2207,01,836,0,,VAJN2207.pdf,2832,7923,00160028.tif,1,1,2,6,ORIGINAL,06,02,283201,2021,0,0,8100002,BIGEYE TUNA,4691,1,1,1,0,0,0,0,1,2021-283201
51,2207,01,837,0,,VAJN2207.pdf,2832,7923,00160028.tif,1,1,2,6,ORIGINAL,06,02,283201,2021,0,0,8100002,YFT,4711,2,1,1,0,0,0,0,1,2021-283201
51,2207,02,839,1,KEPT;,VAJN2207.pdf,2832,7923,00160030.tif,1,1,3,6,ORIGINAL,06,02,283202,2021,0,0,8100002,YFT,4711,1,1,1,0,0,0,0,1,2021-283202
51,2207,02,838,1,KEPT;,VAJN2207.pdf,2832,7923,00160030.tif,1,1,3,6,ORIGINAL,06,02,283202,2021,0,0,8100002,BFT SCHOOL,4677,2,5,5,0,0,0,0,1,2021-283202
51,2207,04,840,0,,VAJN2207.pdf,2832,7923,00160033.tif,1,1,2,7,ORIGINAL,06,02,283204,2021,0,0,8100091,BFT SCHOOL,4677,1,2,2,6,0,0,0,1,2021-283204
24,2111,01,170,0,,MDJN2111.pdf,2833,6936,00160037.tif,5,1,3,8,ORIGINAL,06,03,283301,2021,0,0,0471493,BFT SCHOOL,4677,1,3,3,7,0,0,0,2,2021-283301
24,2111,02,171,0,,MDJN2111.pdf,2833,6936,00160039.tif,5,1,3,6,ORIGINAL,06,03,283302,2021,0,0,0471493,BFT SCHOOL,4677,1,3,3,9,0,0,0,2,2021-283302
51,2110,02,780,0,,VAJN2110.pdf,2834,7871,00160044.tif,1,1,3,6,ORIGINAL,06,03,283402,2021,0,0,8100002,BIGEYE TUNA,4691,1,1,1,0,0,0,0,1,2021-283402
51,2110,02,779,0,,VAJN2110.pdf,2834,7871,00160044.tif,1,1,3,6,ORIGINAL,06,03,283402,2021,0,0,8100002,BFT SCHOOL,4677,2,3,3,0,0,0,0,1,2021-283402
10,1201,01,15,1,KEPT;,DEJN1201.pdf,2849,6783,00160048.tif,2,1,3,6,ORIGINAL,06,05,284901,2021,0,0,0051599,BFT SCHOOL,4677,1,6,0,5,0,0,0,2,2021-284901
10,1201,02,16,1,KEPT;,DEJN1201.pdf,2849,6783,00160050.tif,2,1,3,6,ORIGINAL,06,05,284902,2021,0,0,0051599,BFT SCHOOL,4677,1,8,8,5,0,0,0,2,2021-284902
10,1201,03,17,0,,DEJN1201.pdf,2849,6783,00160052.tif,2,1,2,6,ORIGINAL,06,05,284903,2021,0,0,0051599,BFT SCHOOL,4677,1,2,2,3,0,0,0,2,2021-284903
10,1201,04,18,0,,DEJN1201.pdf,2849,6783,00160054.tif,2,1,3,4,ORIGINAL,06,05,284904,2021,0,0,0051599,BFT SCHOOL,4677,1,3,3,1,0,0,0,1,2021-284904
10,1201,05,21,0,,DEJN1201.pdf,2849,6783,00160056.tif,2,1,2,5,ORIGINAL,06,05,284905,2021,0,0,0051599,BFT SCHOOL,4677,1,2,0,5,0,0,0,2,2021-284905
10,1201,05,20,0,,DEJN1201.pdf,2849,6783,00160056.tif,2,1,2,5,ORIGINAL,06,05,284905,2021,0,0,0051599,GOLDEN TILEFISH,4467,2,4,1,0,0,0,0,2,2021-284905
10,1201,05,19,0,,DEJN1201.pdf,2849,6783,00160056.tif,2,1,2,5,ORIGINAL,06,05,284905,2021,0,0,0051599,BLUELINE TILEFISH,4440,3,2,0,0,0,0,0,2,2021-284905
10,1201,06,22,0,,DEJN1201.pdf,2849,6783,00160058.tif,2,1,2,4,ORIGINAL,06,05,284906,2021,0,0,0051599,BFT SCHOOL,4677,1,2,2,3,0,0,0,2,2021-284906
10,1201,07,23,0,,DEJN1201.pdf,2849,6783,00160060.tif,2,1,3,5,ORIGINAL,06,05,284907,2021,0,0,0050017,BFT SCHOOL,4677,1,3,3,1,0,0,0,1,2021-284907
24,1102,01,85,0,,MDJN1102.pdf,2856,6936,00160078.tif,2,1,3,5,REVISED,06,06,285601,2021,0,1,0470022,BFT SCHOOL,4677,1,3,3,15,0,0,0,2,2021-285601
24,1102,01,83,0,,MDJN1102.pdf,2856,6936,00160078.tif,2,1,3,5,REVISED,06,06,285601,2021,0,1,0470022,BLACK SEA BASS,3350,2,36,0,0,0,0,0,2,2021-285601
