tracker,faxno,batch,ppstfips,tcode,location,stcode,returnt,siteno,intcode,hook,inttime,tifno,intdate,cluster,control,sitetype,prim_op,todayt,category,perm_ver,ppstate,prim1,prim2,tourn,tourn_name,hook_oth,lines,fhours,fm_other_oth,party,latddmm,londdmm,miles,depth,sst,proxy,catch,interr,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,contact,filestat,docno,month,day,year,enterr,permismt,county,site_no,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
357001,NJJL1204.pdf,3570,34,6,WILMINGTON CANYON,34,1625,0385,7508,2,1629,00162799.tif,07/03/2021,3,1204,1,2,1,3,1,NJ,4711,9996,2,6,6,11,7,6,6,3824,7327,65,1000,71,2,1,0,0,0,1,1,0,0,0,0,1,ORIGINAL,01,07,03,2021,1,0,009,0090385,5,647,0,,Y,1,2021-357001
357401,NJJL2114.pdf,3574,34,6,MUD HOLE,34,1545,0119,7894,1,1600,00162816.tif,07/02/2021,5,2114,1,1,2,2,7,NJ,3531,4881,2,6,6,4,5,DRIFTING,4,4010,7335,18,160,71,2,1,1,0,1,1,1,0,0,0,1,1,ORIGINAL,01,07,02,2021,0,0,025,0250119,5,688,0,,Y,2,2021-357401
357701,RIJL1211.pdf,3577,44,6,SO BLOCK ISLAND,44,1300,0031,7665,2,1510,00162826.tif,07/04/2021,12,1211,1,2,1,3,1,RI,4677,9996,2,6,6,6,5,6,6,9998,9998,7,180,67,2,1,0,0,0,1,1,0,0,0,0,1,ORIGINAL,01,07,04,2021,0,0,009,0090031,3,871,0,,Y,2,2021-357701
357901,RIJL2225.pdf,3579,44,6,COXES LEDGE,44,1630,4047,7856,2,1736,00162834.tif,07/01/2021,11,2225,1,2,1,3,1,RI,4677,9996,2,6,6,7,8,6,5,4105,7110,26,120,70,2,1,0,0,0,1,1,0,0,0,0,1,ORIGINAL,01,07,01,2021,0,0,009,0094047,3,906,0,,Y,2,2021-357901
358101,VAJL1109.pdf,3581,51,6,NORFOLK CANYON,51,1657,0091,7872,2,1707,00162840.tif,07/03/2021,1,1109,1,2,1,3,1,VA,1050,4711,2,6,6,8,6,6,4,3705,7435,60,600,73,2,1,1,0,1,0,1,0,0,0,0,1,ORIGINAL,01,07,03,2021,0,0,810,8100091,7,915,0,,Y,2,2021-358101
358301,VAJL1203.pdf,3583,37,6,THE 300,51,1640,0088,7916,12,1656,00162846.tif,07/03/2021,3,1203,1,2,1,3,6,NC,4711,9996,2,6,6,9,8,6,6,3705,7435,65,3000,74,2,1,0,0,1,0,1,0,0,0,0,1,ORIGINAL,01,07,03,2021,0,0,810,8100088,7,955,0,,N,2,2021-358301
358302,VAJL1203.pdf,3583,51,6,NORFOLK CANYON,51,1700,0088,7916,2,1719,00162848.tif,07/03/2021,3,1203,1,2,1,3,7,VA,4711,9996,2,6,6,6,6,6,2,3705,7435,60,600,72,2,1,1,0,1,0,1,0,0,0,0,1,ORIGINAL,02,07,03,2021,0,0,810,8100088,7,954,0,,Y,2,2021-358302
358801,MDJL1109.pdf,3588,24,6,BALTIMORE CANYON,24,1420,1493,6936,2,1445,00162910.tif,07/04/2021,5,1109,1,2,1,3,1,MD,4711,9996,2,6,6,12,6,6,6,3814,7350,62,1200,72,2,1,0,0,1,1,1,0,0,0,0,1,ORIGINAL,01,07,04,2021,0,0,047,0471493,6,285,0,,Y,1,2021-358801
358802,MDJL1109.pdf,3588,12,6,POOR MANS CANYON,24,1515,1493,6936,2,1535,00162912.tif,07/04/2021,5,1109,1,2,1,3,2,FL,4711,9996,2,6,6,12,6,6,4,3752,7406,58,900,68,1,1,1,0,1,1,1,0,0,0,0,2,ORIGINAL,02,07,04,2021,0,0,047,0471493,6,284,0,,N,2,2021-358802
358803,MDJL1109.pdf,3588,24,6,WILMINGTON CANYON,24,1630,1493,6936,2,1650,00162914.tif,07/04/2021,5,1109,1,1,2,2,1,MD,4711,9996,2,6,6,11,8,6,3,3824,7327,70,900,73,1,1,0,0,1,1,1,0,0,0,0,1,ORIGINAL,03,07,04,2021,0,0,047,0471493,6,286,0,,Y,1,2021-358803
