tracker,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,filestat,c_index,cerrflag,cprobfld,id
15,6936,5,1,2011,10,08,0471493,0,0,24,0,1206,1,mdoc1206.tif,00045223.tif,LITTLE TUNNY,4681,1547,2,0,0,3,0,0,0,ORIGINAL,70,0,,2011-154706
15,6936,5,1,2011,10,08,0471493,0,0,24,0,1206,1,mdoc1206.tif,00045223.tif,YFT,4711,1547,1,2,2,0,0,0,0,ORIGINAL,71,0,,2011-154706
15,6936,5,1,2011,10,08,0471493,0,0,24,0,1206,1,mdoc1206.tif,00045225.tif,DOLPHIN,1050,1547,1,3,3,0,0,0,0,ORIGINAL,72,0,,2011-154707
15,6936,5,1,2011,10,08,0471493,0,1,24,0,1206,1,mdoc1206.tif,00045227.tif,BLUEFISH,230,1547,3,1,1,0,0,0,0,ORIGINAL,73,0,,2011-154708
15,6936,5,1,2011,10,08,0471493,0,1,24,0,1206,1,mdoc1206.tif,00045227.tif,DOLPHIN,1050,1547,2,2,2,0,0,0,0,ORIGINAL,74,0,,2011-154708
15,6936,5,1,2011,10,08,0471493,0,1,24,0,1206,1,mdoc1206.tif,00045227.tif,LITTLE TUNNY,4681,1547,1,9,9,30,0,0,0,ORIGINAL,75,0,,2011-154708
15,6936,5,1,2011,10,08,0471493,0,0,24,0,1206,1,mdoc1206.tif,00045229.tif,DOLPHIN,1050,1547,2,6,6,0,0,0,0,ORIGINAL,76,0,,2011-154709
15,6936,5,1,2011,10,08,0471493,0,0,24,0,1206,1,mdoc1206.tif,00045229.tif,WHITE MARLIN,2161,1547,1,0,0,1,0,0,0,ORIGINAL,77,0,,2011-154709
15,6936,3,1,2011,10,09,0470853,0,0,24,0,1207,1,mdoc1207.tif,00045235.tif,BARRACUDA,180,1548,5,0,0,1,0,0,0,ORIGINAL,78,1,ALIVE;,2011-154801
15,6936,3,1,2011,10,09,0470853,0,0,24,0,1207,1,mdoc1207.tif,00045235.tif,DOLPHIN,1050,1548,2,4,4,0,0,0,0,ORIGINAL,79,0,,2011-154801
15,6936,3,1,2011,10,09,0470853,0,0,24,0,1207,1,mdoc1207.tif,00045235.tif,SKIPJACK TUNA,4661,1548,4,0,0,2,0,0,0,ORIGINAL,80,0,,2011-154801
15,6936,3,1,2011,10,09,0470853,0,0,24,0,1207,1,mdoc1207.tif,00045235.tif,LITTLE TUNNY,4681,1548,3,3,3,0,0,0,0,ORIGINAL,81,0,,2011-154801
15,6936,3,1,2011,10,09,0470853,0,0,24,0,1207,1,mdoc1207.tif,00045235.tif,YFT,4711,1548,1,6,6,0,0,0,0,ORIGINAL,82,0,,2011-154801
15,6936,3,1,2011,10,09,0470853,0,0,24,0,1207,2,mdoc1207.tif,00045237.tif,DOLPHIN,1050,1548,3,1,0,0,0,0,0,ORIGINAL,83,0,,2011-154802
